cog,gene_name,gene_product
Energy production and conversion,cyoC,cytochrome bo3 ubiquinol oxidase subunit 3
Energy production and conversion,cyoD,cytochrome bo3 ubiquinol oxidase subunit 4
Coenzyme transport and metabolism,cyoE,HEMEOSYN-MONOMER
Inorganic ion transport and metabolism,cysA,sulfate/thiosulfate ABC transporter ATP binding subunit
Transcription,cysB,DNA-binding transcriptional dual regulator CysB
Inorganic ion transport and metabolism,cysC,adenylyl-sulfate kinase
Aminio acid transport and metabolism,cysD,sulfate adenylyltransferase subunit 2
Aminio acid transport and metabolism,cysE,serine acetyltransferase
Coenzyme transport and metabolism,cysG,siroheme synthase
Aminio acid transport and metabolism,cysH,phosphoadenosine phosphosulfate reductase
Inorganic ion transport and metabolism,cysI,"sulfite reductase, hemoprotein subunit"
Inorganic ion transport and metabolism,cysJ,"sulfite reductase, flavoprotein subunit"
Aminio acid transport and metabolism,cysK,O-acetylserine sulfhydrylase A
Aminio acid transport and metabolism,cysM,cysteine synthase B
Inorganic ion transport and metabolism,cysN,sulfate adenylyltransferase subunit 1
Inorganic ion transport and metabolism,cysP,thiosulfate/sulfate ABC transporter periplasmic binding protein CysP
Inorganic ion transport and metabolism,cysQ,EG10043-MONOMER
"Translation, ribosomal structure, and biogenesis",cysS,cysteine-tRNA ligase
Inorganic ion transport and metabolism,cysU,sulfate/thiosulfate ABC transporter inner membrane subunit CysU
Inorganic ion transport and metabolism,cysW,sulfate/thiosulfate ABC transporter inner membrane subunit CysW
Aminio acid transport and metabolism,cysZ,EG10003-MONOMER
Transcription,cytR,DNA-binding transcriptional repressor CytR
Cell wall/membrane/envelope biogenesis,dacA,D-alanyl-D-alanine carboxypeptidase DacA
Cell wall/membrane/envelope biogenesis,dacB,peptidoglycan DD-endopeptidase DacB
Cell wall/membrane/envelope biogenesis,dacC,D-alanyl-D-alanine carboxypeptidase DacC
Cell wall/membrane/envelope biogenesis,dacD,D-alanyl-D-alanine carboxypeptidase DacD
Aminio acid transport and metabolism,dadA,D-amino acid dehydrogenase
Cell wall/membrane/envelope biogenesis,dadX,alanine racemase 2
"Replication, recombination, and repair",dam,DNA adenine methyltransferase
"Cell cycle control, cell division, chromosome partitioning",damX,cell division protein DamX
Aminio acid transport and metabolism,dapA,4-hydroxy-tetrahydrodipicolinate synthase
Aminio acid transport and metabolism,dapB,4-hydroxy-tetrahydrodipicolinate reductase
Aminio acid transport and metabolism,dapD,tetrahydrodipicolinate succinylase
Aminio acid transport and metabolism,dapE,succinyl-diaminopimelate desuccinylase
Aminio acid transport and metabolism,dapF,diaminopimelate epimerase
"Replication, recombination, and repair",dbpA,ATP-dependent RNA helicase DbpA
Nucleotide transport and metabolism,dcd,dCTP deaminase
"Replication, recombination, and repair",dcm,DNA-cytosine methyltransferase
Aminio acid transport and metabolism,dcp,peptidyl-dipeptidase Dcp
No Specific COG Annotation,dcrB,periplasmic bacteriophage sensitivity protein DcrB
Energy production and conversion,dctA,C4 dicarboxylate/orotate:H+ symporter
Transcription,dctR,putative DNA-binding transcriptional regulator DctR
Carbohydrate transport and metabolism,dcuA,C4-dicarboxylate transporter DcuA
Transcription,dcuR,"DcuR // ""DNA-binding transcriptional activator DcuR"""
Signal transduction mechanisms,dcuS,"DcuS-N-phospho-L-histidine // ""sensor histidine kinase DcuS"""
Aminio acid transport and metabolism,dcyD,D-cysteine desulfhydrase
General function prediction only,ddlA,D-alanine-D-alanine ligase A
General function prediction only,ddlB,D-alanine-D-alanine ligase B
Aminio acid transport and metabolism,ddpA,"putative D,D-dipeptide ABC transporter periplasmic binding protein"
Inorganic ion transport and metabolism,ddpF,"putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF"
Cell wall/membrane/envelope biogenesis,ddpX,G6782-MONOMER
"Replication, recombination, and repair",deaD,ATP-dependent RNA helicase DeaD
Function unknown,dedA,DedA family protein DedA
"Cell cycle control, cell division, chromosome partitioning",dedD,cell division protein DedD
"Translation, ribosomal structure, and biogenesis",def,peptide deformylase
"Post-translational modification, protein turnover, and chaperones",degP,periplasmic serine endoprotease DegP
"Post-translational modification, protein turnover, and chaperones",degQ,periplasmic serine endoprotease
"Post-translational modification, protein turnover, and chaperones",degS,serine endoprotease
Nucleotide transport and metabolism,deoA,thymidine phosphorylase
Carbohydrate transport and metabolism,deoB,phosphopentomutase
Nucleotide transport and metabolism,deoC,DEOXYRIBOSE-P-ALD-MONOMER
Nucleotide transport and metabolism,deoD,purine nucleoside phosphorylase
Transcription,deoR,DNA-binding transcriptional repressor DeoR
General function prediction only,der,50S ribosomal subunit stability factor
Lipid transport and metabolism,dgkA,diacylglycerol kinase
Carbohydrate transport and metabolism,dgoA,DEHYDDEOXPHOSGALACT-ALDOL-MONOMER
General function prediction only,dgoD,GALACTONATE-DEHYDRATASE-MONOMER
Carbohydrate transport and metabolism,dgoK,DEHYDDEOXGALACTKIN-MONOMER
Transcription,dgoR,DNA-binding transcriptional regulator DgoR
Nucleotide transport and metabolism,dgt,dGTP triphosphohydrolase
Carbohydrate transport and metabolism,dhaK,dihydroxyacetone kinase subunit K
No Specific COG Annotation,dhaL,dihydroxyacetone kinase subunit L
No Specific COG Annotation,dhaM,dihydroxyacetone kinase subunit M
Transcription,dhaR,DNA-binding transcriptional dual regulator DhaR
Carbohydrate transport and metabolism,diaA,DnaA initiator-associating factor for replication initiation
Transcription,dicA,DNA-binding transcriptional dual regulator DicA
No Specific COG Annotation,dicC,Qin prophage; DNA-binding transcriptional regulator for DicB
"Replication, recombination, and repair",dinB,DNA polymerase IV
No Specific COG Annotation,dinD,DNA damage-inducible protein D
Defense Mechanisms,dinF,DNA damage-inducible protein F
"Replication, recombination, and repair",dinG,ATP-dependent DNA helicase DinG
No Specific COG Annotation,dinI,DNA damage-inducible protein I
Defense Mechanisms,dinJ,antitoxin/DNA-binding transcriptional repressor DinJ
"Post-translational modification, protein turnover, and chaperones",djlA,co-chaperone protein DjlA
"Secondary metabolites, biosynthesis, transport, and catabolism",dkgA,methylglyoxal reductase DkgA
"Secondary metabolites, biosynthesis, transport, and catabolism",dkgB,methylglyoxal reductase DkgB
"Translation, ribosomal structure, and biogenesis",dksA,RNA polymerase-binding transcription factor DksA
Energy production and conversion,dld,quinone-dependent D-lactate dehydrogenase
Energy production and conversion,dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating)
Transcription,dmlR,DNA-binding transcriptional regulator DmlR
Energy production and conversion,dmsA,dimethyl sulfoxide reductase subunit A
Energy production and conversion,dmsB,dimethyl sulfoxide reductase subunit B
Energy production and conversion,dmsC,dimethyl sulfoxide reductase subunit C
"Post-translational modification, protein turnover, and chaperones",dmsD,redox enzyme maturation protein DmsD
"Replication, recombination, and repair",dnaA,chromosomal replication initiator protein DnaA
"Replication, recombination, and repair",dnaB,replicative DNA helicase
"Replication, recombination, and repair",dnaC,DNA replication protein DnaC
"Replication, recombination, and repair",dnaE,DNA polymerase III subunit α
"Replication, recombination, and repair",dnaG,DNA primase
"Post-translational modification, protein turnover, and chaperones",dnaJ,chaperone protein DnaJ
"Post-translational modification, protein turnover, and chaperones",dnaK,chaperone protein DnaK
"Replication, recombination, and repair",dnaN,β sliding clamp
"Replication, recombination, and repair",dnaQ,DNA polymerase III subunit ε
No Specific COG Annotation,dnaT,primosomal protein DnaT
"Replication, recombination, and repair",dnaX,"DNA polymerase III subunit γ // ""DNA polymerase III subunit &tau;"""
Signal transduction mechanisms,dosC,diguanylate cyclase DosC
Signal transduction mechanisms,dosP,oxygen-sensing c-di-GMP phosphodiesterase DosP
Transcription,dpiA,"Pasp DNA-binding transcriptional dual regulator DpiA // ""DNA-binding transcriptional dual regulator DpiA"""
Aminio acid transport and metabolism,dppA,dipeptide ABC transporter periplasmic binding protein
Inorganic ion transport and metabolism,dppB,dipeptide ABC transporter membrane subunit DppB
Inorganic ion transport and metabolism,dppC,dipeptide ABC transporter membrane subunit DppC
Inorganic ion transport and metabolism,dppD,dipeptide ABC transporter ATP binding subunit DppD
Aminio acid transport and metabolism,dppF,dipeptide ABC transporter ATP binding subunit DppF
Inorganic ion transport and metabolism,dps,DNA protection during starvation protein
No Specific COG Annotation,dsbA,"thiol:disulfide oxidoreductase - DsbAreduced // ""thiol:disulfide oxidoreductase - DsbAoxidized"" // ""thiol:disulfide oxidoreductase DsbA"""
"Post-translational modification, protein turnover, and chaperones",dsbB,"protein thiol:quinone oxidoreductase DsbBreduced // ""protein thiol:quinone oxidoreductase DsbBoxidized"" // ""protein thiol:quinone oxidoreductase DsbB"""
"Post-translational modification, protein turnover, and chaperones",dsbC,protein disulfide isomerase DsbC
"Post-translational modification, protein turnover, and chaperones",dsbD,"thiol-disulfide exchange protein DsbDreduced // ""thiol-disulfide exchange protein DsbDoxidized"" // ""thiol-disulfide exchange protein DsbD"""
"Post-translational modification, protein turnover, and chaperones",dsbG,protein sulfenic acid reductase and chaperone DsbG
Aminio acid transport and metabolism,dsdA,D-serine ammonia-lyase
Transcription,dsdC,DNA-binding transcriptional dual regulator DsdC
General function prediction only,dsdX,DSDX-MONOMER
No Specific COG Annotation,dsrB,protein DsrB
"Translation, ribosomal structure, and biogenesis",dtd,D-aminoacyl-tRNA deacylase
Aminio acid transport and metabolism,dtpA,dipeptide/tripeptide:H+ symporter DtpA
Aminio acid transport and metabolism,dtpB,dipeptide/tripeptide:H+ symporter DtpB
Aminio acid transport and metabolism,dtpD,dipeptide:H+ symporter DtpD
"Translation, ribosomal structure, and biogenesis",dusA,tRNA-dihydrouridine synthase A
"Translation, ribosomal structure, and biogenesis",dusB,tRNA-dihydrouridine synthase B
"Translation, ribosomal structure, and biogenesis",dusC,tRNA-dihydrouridine16 synthase
Nucleotide transport and metabolism,dut,dUTP diphosphatase
Lipid transport and metabolism,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase
Coenzyme transport and metabolism,dxs,1-deoxy-D-xylulose-5-phosphate synthase
No Specific COG Annotation,eamA,cysteine/O-acetylserine exporter EamA
Aminio acid transport and metabolism,eamB,cysteine/O-acetylserine exporter EamB
Transcription,ebgR,DNA-binding transcriptional repressor EbgR
Function unknown,ecnA,"entericidin A lipoprotein, antidote to entericidin B"
Function unknown,ecnB,bacteriolytic entericidin B lipoprotein
"Post-translational modification, protein turnover, and chaperones",eco,serine protease inhibitor ecotin
Carbohydrate transport and metabolism,eda,KHG/KDPG aldolase
Aminio acid transport and metabolism,edd,PGLUCONDEHYDRAT-MONOMER
Inorganic ion transport and metabolism,efeB,heme-containing peroxidase/deferrochelatase
Inorganic ion transport and metabolism,efeO,ferrous iron transport system protein EfeO
"Translation, ribosomal structure, and biogenesis",efp,"protein chain elongation factor EF-P, β-lysyl-Lys34 // ""protein chain elongation factor EF-P"""
General function prediction only,elaA,putative N-acetyltransferase ElaA
"Translation, ribosomal structure, and biogenesis",elaB,tail-anchored inner membrane protein ElaB
No Specific COG Annotation,elaD,protease ElaD
"Secondary metabolites, biosynthesis, transport, and catabolism",elbB,low activity glyoxalase ElbB
Cell motility,elfA,putative laminin-binding fimbrial subunit
Cell motility,elfG,putative fimbrial-like adhesin protein
Defense Mechanisms,emrA,multidrug efflux pump membrane fusion protein EmrA
No Specific COG Annotation,emrB,multidrug efflux pump membrane subunit EmrB
Carbohydrate transport and metabolism,emrD,multidrug efflux pump EmrD
Defense Mechanisms,emrE,multidrug/betaine/choline efflux transporter EmrE
No Specific COG Annotation,emtA,lytic murein transglycosylase E
"Replication, recombination, and repair",endA,DNA-specific endonuclease I
"Cell cycle control, cell division, chromosome partitioning",engB,GTP-binding protein YihA
Carbohydrate transport and metabolism,eno,enolase
"Secondary metabolites, biosynthesis, transport, and catabolism",entA,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
"Secondary metabolites, biosynthesis, transport, and catabolism",entB,"holo EntB // ""enterobactin synthase component B"""
"Secondary metabolites, biosynthesis, transport, and catabolism",entC,isochorismate synthase EntC
"Secondary metabolites, biosynthesis, transport, and catabolism",entE,"2,3-dihydroxybenzoate-AMP ligase"
"Secondary metabolites, biosynthesis, transport, and catabolism",entF,"seryl-[EntF peptidyl-carrier protein] // ""holo [EntF peptidyl-carrier protein]"" // ""apo-serine activating enzyme"""
"Secondary metabolites, biosynthesis, transport, and catabolism",entH,proofreading thioesterase in enterobactin biosynthesis
Carbohydrate transport and metabolism,entS,YBDA-MONOMER
Cell wall/membrane/envelope biogenesis,envC,multidrug efflux pump membrane fusion lipoprotein AcrE
Transcription,envY,DNA-binding transcriptional activator EnvY
Signal transduction mechanisms,envZ,sensor histidine kinase EnvZ
Carbohydrate transport and metabolism,epd,D-erythrose-4-phosphate dehydrogenase
Aminio acid transport and metabolism,epmB,"lysine 2,3-aminomutase"
Cell wall/membrane/envelope biogenesis,eptA,phosphoethanolamine transferase EptA
Cell wall/membrane/envelope biogenesis,eptB,Kdo2-lipid A phosphoethanolamine 7''-transferase
Cell wall/membrane/envelope biogenesis,eptC,phosphoethanolamine transferase EptC
"Translation, ribosomal structure, and biogenesis",era,30S ribosomal subunit maturation GTPase Era
Cell wall/membrane/envelope biogenesis,erfK,"L,D-transpeptidase LdtA"
"Post-translational modification, protein turnover, and chaperones",erpA,iron-sulfur cluster insertion protein ErpA
Cell wall/membrane/envelope biogenesis,etk,protein-tyrosine kinase Etk
Signal transduction mechanisms,etp,phosphotyrosine-protein phosphatase
