cog,complex,complex_annotation,func,gene_name
Energy production and conversion,ATPSYN-CPLX,ATP synthase F1 complex subunit γ,ATP synthase F1 complex subunit γ,atpG
Energy production and conversion,ATPSYN-CPLX,ATP synthase F1 complex subunit &delta;,ATP synthase F1 complex subunit &delta;,atpH
Energy production and conversion,F-O-CPLX,ATP synthase F0 complex subunit a,ATP synthase F0 complex subunit a,atpB
Energy production and conversion,F-O-CPLX,ATP synthase F0 complex subunit c,ATP synthase F0 complex subunit c,atpE
Energy production and conversion,F-O-CPLX,ATP synthase F0 complex subunit b,ATP synthase F0 complex subunit b,atpF
Energy production and conversion,ATPF-CPLX,ATP synthase F0 complex subunit b,ATP synthase F0 complex subunit b,atpF
Energy production and conversion,ATPE-CPLX,ATP synthase F0 complex subunit c,ATP synthase F0 complex subunit c,atpE
Energy production and conversion,F-1-CPLX,ATP synthase F1 complex subunit α,ATP synthase F1 complex subunit α,atpA
Energy production and conversion,F-1-CPLX,ATP synthase F1 complex subunit ε,ATP synthase F1 complex subunit ε,atpC
Energy production and conversion,F-1-CPLX,ATP synthase F1 complex subunit β,ATP synthase F1 complex subunit β,atpD
Energy production and conversion,F-1-CPLX,ATP synthase F1 complex subunit γ,ATP synthase F1 complex subunit γ,atpG
Energy production and conversion,F-1-CPLX,ATP synthase F1 complex subunit &delta;,ATP synthase F1 complex subunit &delta;,atpH
Energy production and conversion,ATPA-CPLX,ATP synthase F1 complex subunit α,ATP synthase F1 complex subunit α,atpA
Energy production and conversion,ATPD-CPLX,ATP synthase F1 complex subunit β,ATP synthase F1 complex subunit β,atpD
"Replication, recombination, and repair",CPLX0-3931,ATP-dependent DNA helicase Rep,ATP-dependent DNA helicase Rep,rep
Defense Mechanisms,CPLX0-7704,ATP-binding lipopolysaccharide transport protein,ATP-binding lipopolysaccharide transport protein,msbA
"Replication, recombination, and repair",CPLX0-3541,ATP-dependent DNA helicase Rep,ATP-dependent DNA helicase Rep,rep
"Post-translational modification, protein turnover, and chaperones",CPLX0-7923,ATP-independent periplasmic chaperone,ATP-independent periplasmic chaperone,spy
Signal transduction mechanisms,PHOSPHO-ATOS,sensor histidine kinase AtoS,sensor histidine kinase AtoS,atoS
Carbohydrate transport and metabolism,ABC-58-CPLX,Autoinducer-2 ABC transporter ATP binding subunit,Autoinducer-2 ABC transporter ATP binding subunit,lsrA
Carbohydrate transport and metabolism,ABC-58-CPLX,Autoinducer-2 ABC transporter periplasmic binding protein,Autoinducer-2 ABC transporter periplasmic binding protein,lsrB
No Specific COG Annotation,CPLX0-8095,"CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system","CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system",rnlA
Aminio acid transport and metabolism,CPLX0-7940,CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase,CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase,yagE
No Specific COG Annotation,CPLX0-7725,type I-E CRISPR system Cascade subunit CasA,type I-E CRISPR system Cascade subunit CasA,casA
No Specific COG Annotation,CPLX0-7725,type I-E CRISPR system Cascade subunit CasB,type I-E CRISPR system Cascade subunit CasB,casB
No Specific COG Annotation,CPLX0-7725,type I-E CRISPR system Cascade subunit CasC,type I-E CRISPR system Cascade subunit CasC,casC
No Specific COG Annotation,CPLX0-7725,type I-E CRISPR system Cascade subunit CasD,type I-E CRISPR system Cascade subunit CasD,casD
No Specific COG Annotation,CPLX0-7725,pre-CRISPR RNA endonuclease,pre-CRISPR RNA endonuclease,casE
No Specific COG Annotation,CPLX0-8173,CRISPR-associated endoribonuclease Cas2,CRISPR-associated endoribonuclease Cas2,ygbF
Nucleotide transport and metabolism,CTPSYN-CPLX,CTP synthetase,CTP synthetase,pyrG
No Specific COG Annotation,CPLX0-8174,CRISPR-associated endoribonuclease Cas2,CRISPR-associated endoribonuclease Cas2,ygbF
Defense Mechanisms,CPLX0-8174,multifunctional nuclease Cas1,multifunctional nuclease Cas1,cas1
Signal transduction mechanisms,CPLX0-8274,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""","chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",cheA
Signal transduction mechanisms,CPLX0-7561,ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system,ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system,chpS
Defense Mechanisms,CPLX0-7561,endoribonuclease toxin ChpB,endoribonuclease toxin ChpB,chpB
"Post-translational modification, protein turnover, and chaperones",CPLX0-881,ATP-dependent Clp protease ATP-binding subunit ClpA,ATP-dependent Clp protease ATP-binding subunit ClpA,clpA
"Post-translational modification, protein turnover, and chaperones",CPLX0-3104,ATP-dependent Clp protease ATP-binding subunit ClpA,ATP-dependent Clp protease ATP-binding subunit ClpA,clpA
"Post-translational modification, protein turnover, and chaperones",CPLX0-3104,ATP-dependent Clp protease proteolytic subunit,ATP-dependent Clp protease proteolytic subunit,clpP
"Post-translational modification, protein turnover, and chaperones",CPLX0-3108,ATP-dependent Clp protease ATP-binding subunit ClpA,ATP-dependent Clp protease ATP-binding subunit ClpA,clpA
"Post-translational modification, protein turnover, and chaperones",CPLX0-3108,ATP-dependent Clp protease proteolytic subunit,ATP-dependent Clp protease proteolytic subunit,clpP
"Post-translational modification, protein turnover, and chaperones",CPLX0-3108,ATP-dependent Clp protease ATP-binding subunit ClpX,ATP-dependent Clp protease ATP-binding subunit ClpX,clpX
"Post-translational modification, protein turnover, and chaperones",CPLX0-3101,ATP-dependent Clp protease proteolytic subunit,ATP-dependent Clp protease proteolytic subunit,clpP
"Post-translational modification, protein turnover, and chaperones",CPLX0-3102,ATP-dependent Clp protease ATP-binding subunit ClpX,ATP-dependent Clp protease ATP-binding subunit ClpX,clpX
"Post-translational modification, protein turnover, and chaperones",CPLX0-3107,ATP-dependent Clp protease proteolytic subunit,ATP-dependent Clp protease proteolytic subunit,clpP
"Post-translational modification, protein turnover, and chaperones",CPLX0-3107,ATP-dependent Clp protease ATP-binding subunit ClpX,ATP-dependent Clp protease ATP-binding subunit ClpX,clpX
General function prediction only,CPLX0-2681,ClpXP protease specificity-enhancing factor,ClpXP protease specificity-enhancing factor,sspB
Signal transduction mechanisms,PHOSPHO-CPXA,"CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA""","CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA""",cpxA
Transcription,CPLX0-7748,"Phosphorylated DNA-binding transcriptional dual regulator CpxR // ""DNA-binding transcriptional dual regulator CpxR""","Phosphorylated DNA-binding transcriptional dual regulator CpxR // ""DNA-binding transcriptional dual regulator CpxR""",cpxR
Signal transduction mechanisms,PHOSPHO-CREC,sensory histidine kinase CreC,sensory histidine kinase CreC,creC
Signal transduction mechanisms,CPLX0-1041,carbon storage regulator,carbon storage regulator,csrA
Signal transduction mechanisms,CPLX0-8253,carbon storage regulator,carbon storage regulator,csrA
Signal transduction mechanisms,CPLX0-8028,carbon storage regulator,carbon storage regulator,csrA
General function prediction only,DALADALALIGB-CPLX,D-alanine-D-alanine ligase B,D-alanine-D-alanine ligase B,ddlB
Cell wall/membrane/envelope biogenesis,CPLX0-8252,D-alanyl-D-alanine carboxypeptidase DacA,D-alanyl-D-alanine carboxypeptidase DacA,dacA
Cell wall/membrane/envelope biogenesis,CPLX0-8254,D-alanyl-D-alanine carboxypeptidase DacC,D-alanyl-D-alanine carboxypeptidase DacC,dacC
Carbohydrate transport and metabolism,ABC-42-CPLX,D-allose ABC transporter periplasmic binding protein,D-allose ABC transporter periplasmic binding protein,alsB
Carbohydrate transport and metabolism,ABC-42-CPLX,D-allose ABC transporter ATP binding subunit,D-allose ABC transporter ATP binding subunit,alsa
Aminio acid transport and metabolism,DALADEHYDROG-CPLX,D-amino acid dehydrogenase,D-amino acid dehydrogenase,dadA
"Translation, ribosomal structure, and biogenesis",CPLX0-3581,D-aminoacyl-tRNA deacylase,D-aminoacyl-tRNA deacylase,dtd
Carbohydrate transport and metabolism,CPLX0-3929,D-arabinose 5-phosphate isomerase GutQ,D-arabinose 5-phosphate isomerase GutQ,gutQ
Carbohydrate transport and metabolism,CPLX0-1262,D-arabinose 5-phosphate isomerase KdsD,D-arabinose 5-phosphate isomerase KdsD,kdsD
Aminio acid transport and metabolism,DCYSDESULF-CPLX,D-cysteine desulfhydrase,D-cysteine desulfhydrase,dcyD
Carbohydrate transport and metabolism,ERYTH4PDEHYDROG-CPLX,D-erythrose-4-phosphate dehydrogenase,D-erythrose-4-phosphate dehydrogenase,epd
Carbohydrate transport and metabolism,ABC-18-CPLX,D-galactose/methyl-galactoside ABC transporter ATP binding subunit,D-galactose/methyl-galactoside ABC transporter ATP binding subunit,mglA
Carbohydrate transport and metabolism,ABC-18-CPLX,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,mglB
Carbohydrate transport and metabolism,ABC-18-CPLX,D-galactose/methyl-galactoside ABC transporter membrane subunit,D-galactose/methyl-galactoside ABC transporter membrane subunit,mglC
Carbohydrate transport and metabolism,GLUCONOKINII-CPLX,"D-gluconate kinase, thermostable","D-gluconate kinase, thermostable",gntK
Energy production and conversion,CPLX0-8158,D-lactate dehydrogenase,D-lactate dehydrogenase,ldhA
Carbohydrate transport and metabolism,CPLX0-7646,ribose ABC transporter ATP binding subunit,ribose ABC transporter ATP binding subunit,rbsA
Carbohydrate transport and metabolism,CPLX0-7660,D-sedoheptulose 7-phosphate isomerase,D-sedoheptulose 7-phosphate isomerase,gmhA
"Replication, recombination, and repair",CPLX0-2425,DNA gyrase subunit A,DNA gyrase subunit A,gyrA
"Replication, recombination, and repair",CPLX0-2425,DNA gyrase subunit B,DNA gyrase subunit B,gyrB
"Replication, recombination, and repair",CPLX0-8111,DNA helicase II,DNA helicase II,uvrD
"Replication, recombination, and repair",CPLX0-7910,DNA polymerase III subunit χ,DNA polymerase III subunit χ,holC
"Replication, recombination, and repair",CPLX0-7910,DNA polymerase III subunit ψ,DNA polymerase III subunit ψ,holD
"Replication, recombination, and repair",CPLX0-3802,"DNA polymerase III subunit γ // ""DNA polymerase III subunit &tau;""","DNA polymerase III subunit γ // ""DNA polymerase III subunit &tau;""",dnaX
"Replication, recombination, and repair",CPLX0-2361,DNA polymerase III subunit α,DNA polymerase III subunit α,dnaE
"Replication, recombination, and repair",CPLX0-2361,DNA polymerase III subunit ε,DNA polymerase III subunit ε,dnaQ
No Specific COG Annotation,CPLX0-2361,DNA polymerase III subunit θ,DNA polymerase III subunit θ,holE
"Replication, recombination, and repair",CPLX0-3803,DNA polymerase III subunit α,DNA polymerase III subunit α,dnaE
"Replication, recombination, and repair",CPLX0-3803,β sliding clamp,β sliding clamp,dnaN
"Replication, recombination, and repair",CPLX0-3803,DNA polymerase III subunit ε,DNA polymerase III subunit ε,dnaQ
"Replication, recombination, and repair",CPLX0-3803,"DNA polymerase III subunit γ // ""DNA polymerase III subunit &tau;""","DNA polymerase III subunit γ // ""DNA polymerase III subunit &tau;""",dnaX
"Replication, recombination, and repair",CPLX0-3803,DNA polymerase III subunit &delta;,DNA polymerase III subunit &delta;,holA
"Replication, recombination, and repair",CPLX0-3803,DNA polymerase III subunit χ,DNA polymerase III subunit χ,holC
"Replication, recombination, and repair",CPLX0-3803,DNA polymerase III subunit ψ,DNA polymerase III subunit ψ,holD
No Specific COG Annotation,CPLX0-3803,DNA polymerase III subunit &delta;',DNA polymerase III subunit &delta;',holB
No Specific COG Annotation,CPLX0-3803,DNA polymerase III subunit θ,DNA polymerase III subunit θ,holE
"Replication, recombination, and repair",CPLX0-3801,"DNA polymerase III subunit γ // ""DNA polymerase III subunit &tau;""","DNA polymerase III subunit γ // ""DNA polymerase III subunit &tau;""",dnaX
"Replication, recombination, and repair",CPLX0-3801,DNA polymerase III subunit &delta;,DNA polymerase III subunit &delta;,holA
No Specific COG Annotation,CPLX0-3801,DNA polymerase III subunit &delta;',DNA polymerase III subunit &delta;',holB
"Replication, recombination, and repair",CPLX0-3925,DNA polymerase V catalytic protein,DNA polymerase V catalytic protein,umuC
No Specific COG Annotation,CPLX0-3925,DNA polymerase V protein UmuD,DNA polymerase V protein UmuD,umuD
Transcription,CPLX0-3301,DNA replication inhibitor,DNA replication inhibitor,cspD
"Replication, recombination, and repair",CPLX0-2424,DNA topoisomerase IV subunit A,DNA topoisomerase IV subunit A,parC
"Replication, recombination, and repair",CPLX0-2424,DNA topoisomerase IV subunit B,DNA topoisomerase IV subunit B,parE
Transcription,CPLX0-8312,transcriptional coactivator for CRP,transcriptional coactivator for CRP,sxy
Signal transduction mechanisms,CPLX0-8312,DNA-binding transcriptional dual regulator CRP,DNA-binding transcriptional dual regulator CRP,crp
No Specific COG Annotation,CPLX0-7666,DNA-binding transcriptional activator CaiF,DNA-binding transcriptional activator CaiF,caiF
Signal transduction mechanisms,CPLX0-8109,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,yahA
Transcription,PC00003,DNA-binding transcriptional dual regulator AraC,DNA-binding transcriptional dual regulator AraC,araC
Transcription,CPLX0-7669,DNA-binding transcriptional dual regulator ArgP,DNA-binding transcriptional dual regulator ArgP,iciA
Transcription,PC00005,DNA-binding transcriptional dual regulator ArgR,DNA-binding transcriptional dual regulator ArgR,argR
Transcription,CPLX0-7733,DNA-binding transcriptional dual regulator AsnC,DNA-binding transcriptional dual regulator AsnC,asnC
Signal transduction mechanisms,PC00004,DNA-binding transcriptional dual regulator CRP,DNA-binding transcriptional dual regulator CRP,crp
Transcription,PC00061,DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional dual regulator Cra,cra
Transcription,CPLX0-7708,DNA-binding transcriptional dual regulator CueR,DNA-binding transcriptional dual regulator CueR,cueR
Transcription,PC00040,DNA-binding transcriptional dual regulator CysB,DNA-binding transcriptional dual regulator CysB,cysB
Transcription,CPLX0-7713,DNA-binding transcriptional dual regulator DsdC,DNA-binding transcriptional dual regulator DsdC,dsdC
Signal transduction mechanisms,CPLX0-7797,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator FNR,fnr
Transcription,CPLX0-7705,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Fis,fis
"Replication, recombination, and repair",CPLX0-2021,DNA-binding protein HU-α,DNA-binding protein HU-α,hupA
"Replication, recombination, and repair",CPLX0-2021,DNA-binding protein HU-β,DNA-binding protein HU-β,hupB
"Replication, recombination, and repair",PC00027,integration host factor subunit α,integration host factor subunit α,ihfA
"Replication, recombination, and repair",PC00027,integration host factor subunit β,integration host factor subunit β,ihfB
Transcription,CPLX0-7759,DNA-binding transcriptional dual regulator MetR,DNA-binding transcriptional dual regulator MetR,metR
Transcription,CPLX0-2541,DNA-binding transcriptional dual regulator ModE,DNA-binding transcriptional dual regulator ModE,modE
Transcription,CPLX0-7745,DNA-binding transcriptional dual regulator MurR,DNA-binding transcriptional dual regulator MurR,murR
Signal transduction mechanisms,GLNG-CPLX,"NtrC-phosphorylated monomer // ""DNA-binding transcriptional dual regulator NtrC""","NtrC-phosphorylated monomer // ""DNA-binding transcriptional dual regulator NtrC""",glnG
Transcription,CPLX0-981,DNA-binding transcriptional dual regulator PspF,DNA-binding transcriptional dual regulator PspF,pspF
Transcription,TORR-CPLX,DNA-binding transcriptional dual regulator TorR,DNA-binding transcriptional dual regulator TorR,torR
Transcription,CPLX0-7734,DNA-binding transcriptional repressor ArsR,DNA-binding transcriptional repressor ArsR,arsR
Transcription,CPLX0-7740,DNA-binding transcriptional repressor CytR,DNA-binding transcriptional repressor CytR,cytR
Transcription,CPLX0-8234,DNA-binding transcriptional repressor FrmR,DNA-binding transcriptional repressor FrmR,frmR
Transcription,PC00010,DNA-binding transcriptional repressor LexA,DNA-binding transcriptional repressor LexA,lexA
Transcription,CPLX0-8043,DNA-binding transcriptional repressor LsrR,DNA-binding transcriptional repressor LsrR,lsrR
Transcription,CPLX0-7710,DNA-binding transcriptional repressor MarR,DNA-binding transcriptional repressor MarR,marR
Transcription,PC00103,DNA-binding transcriptional repressor MngR,DNA-binding transcriptional repressor MngR,mngR
Transcription,CPLX0-7418,DNA-binding transcriptional repressor MprA,DNA-binding transcriptional repressor MprA,mprA
Transcription,CPLX0-7756,DNA-binding transcriptional repressor NsrR,DNA-binding transcriptional repressor NsrR,nsrR
Transcription,CPLX0-7731,DNA-binding transcriptional repressor PaaX,DNA-binding transcriptional repressor PaaX,paaX
Transcription,PC00033,DNA-binding transcriptional repressor PurR,DNA-binding transcriptional repressor PurR,purR
Transcription,CPLX0-7854,DNA-binding transcriptional repressor TreR,DNA-binding transcriptional repressor TreR,treR
Transcription,PC00007,DNA-binding transcriptional repressor TrpR,DNA-binding transcriptional repressor TrpR,trpR
Inorganic ion transport and metabolism,CPLX0-7679,DNA-binding transcriptional repressor Zur,DNA-binding transcriptional repressor Zur,zur
Coenzyme transport and metabolism,CPLX0-7975,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,nadR
