cog_class,cog_class_letter,cog_desc,desc,gene,go_biological_process,go_id,uniprot
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Chromosomal replication initiator protein dnaA ,dnaA,negative regulation of DNA replication,GO:0008156,P03004
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Chromosomal replication initiator protein dnaA ,dnaA,regulation of DNA replication,GO:0006275,P03004
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase III subunit epsilon ,dnaQ,DNA replication proofreading,GO:0045004,P03007
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,DNA duplex unwinding,GO:0032508,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,DNA repair,GO:0006281,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,DNA unwinding involved in DNA replication,GO:0006268,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,mismatch repair,GO:0006298,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,nucleotide-excision repair,GO:0006289,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,protein homooligomerization,GO:0051260,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,recombinational repair,GO:0000725,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,replication fork processing,GO:0031297,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,response to radiation,GO:0009314,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,rolling circle DNA replication,GO:0070581,P03018
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,SOS response,GO:0009432,P03018
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Uncharacterized protein YgeA ,ygeA,nitrogen compound metabolic process,GO:0006807,P03813
Metabolism,Energy production and conversion,Energy production and conversion,Protein mioC ,mioC,oxidation-reduction process,GO:0055114,P03817
Metabolism,Energy production and conversion,Energy production and conversion,Protein mioC ,mioC,regulation of cell division,GO:0051302,P03817
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Glutathione-regulated potassium-efflux system protein kefC ,kefC,potassium ion transport,GO:0006813,P03819
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Glutathione-regulated potassium-efflux system protein kefC ,kefC,regulation of pH,GO:0006885,P03819
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Glutathione-regulated potassium-efflux system protein kefC ,kefC,response to methylglyoxal,GO:0051595,P03819
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Glutathione-regulated potassium-efflux system protein kefC ,kefC,response to toxic substance,GO:0009636,P03819
Not Assigned,Not Assigned,Not Assigned,Maltose operon periplasmic protein ,malM,carbohydrate transport,GO:0008643,P03841
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dihydrodipicolinate reductase ,dapB,cellular amino acid biosynthetic process,GO:0008652,P04036
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dihydrodipicolinate reductase ,dapB,diaminopimelate biosynthetic process,GO:0019877,P04036
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dihydrodipicolinate reductase ,dapB,lysine biosynthetic process via diaminopimelate,GO:0009089,P04036
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,GMP synthase [glutamine-hydrolyzing] ,guaA,glutamine metabolic process,GO:0006541,P04079
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,GMP synthase [glutamine-hydrolyzing] ,guaA,GMP biosynthetic process,GO:0006177,P04079
Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Esterase frsA ,frsA,regulation of carbohydrate catabolic process,GO:0043470,P04335
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ornithine carbamoyltransferase chain I ,argI,arginine biosynthetic process via ornithine,GO:0042450,P04391
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ornithine carbamoyltransferase chain I ,argI,citrulline biosynthetic process,GO:0019240,P04391
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Glutathione synthetase ,gshB,glutathione biosynthetic process,GO:0006750,P04425
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aromatic-amino-acid aminotransferase ,tyrB,aspartate biosynthetic process,GO:0006532,P04693
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aromatic-amino-acid aminotransferase ,tyrB,leucine biosynthetic process,GO:0009098,P04693
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aromatic-amino-acid aminotransferase ,tyrB,L-phenylalanine biosynthetic process from chorismate via phenylpyruvate,GO:0033585,P04693
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aromatic-amino-acid aminotransferase ,tyrB,tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate,GO:0019292,P04693
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glutamyl-tRNA synthetase ,gltX,glutamyl-tRNA aminoacylation,GO:0006424,P04805
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Leucine-specific-binding protein ,livK,leucine transport,GO:0015820,P04816
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aminopeptidase N ,pepN,peptide catabolic process,GO:0043171,P04825
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aminopeptidase N ,pepN,proteolysis,GO:0006508,P04825
Cellular Processes and Signaling,Cell motility,Cell motility,Flagellin ,fliC,bacterial-type flagellum-dependent cell motility,GO:0071973,P04949
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,3-deoxy-manno-octulosonate cytidylyltransferase ,kdsB,CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process,GO:0033468,P04951
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,3-deoxy-manno-octulosonate cytidylyltransferase ,kdsB,keto-3-deoxy-D-manno-octulosonic acid biosynthetic process,GO:0019294,P04951
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Threonine dehydratase biosynthetic ,ilvA,branched-chain amino acid biosynthetic process,GO:0009082,P04968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Threonine dehydratase biosynthetic ,ilvA,isoleucine biosynthetic process,GO:0009097,P04968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Threonine dehydratase biosynthetic ,ilvA,threonine catabolic process,GO:0006567,P04968
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Threonine dehydratase biosynthetic ,ilvA,threonine metabolic process,GO:0006566,P04968
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,D-ribose pyranase ,rbsD,D-ribose catabolic process,GO:0019303,P04982
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Ribose import ATP-binding protein RbsA ,rbsA,D-ribose transmembrane transport,GO:0015752,P04983
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Exodeoxyribonuclease 7 large subunit ,xseA,DNA catabolic process,GO:0006308,P04994
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Dihydroorotase ,pyrC,'de novo' pyrimidine nucleobase biosynthetic process,GO:0006207,P05020
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Dihydroorotase ,pyrC,'de novo' UMP biosynthetic process,GO:0044205,P05020
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Dihydroorotase ,pyrC,pyrimidine nucleotide biosynthetic process,GO:0006221,P05020
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Para-aminobenzoate synthase component 1 ,pabB,folic acid biosynthetic process,GO:0046656,P05041
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Para-aminobenzoate synthase component 1 ,pabB,tetrahydrofolate biosynthetic process,GO:0046654,P05041
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate hydratase class II ,fumC,fumarate metabolic process,GO:0006106,P05042
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate hydratase class II ,fumC,malate metabolic process,GO:0006108,P05042
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate hydratase class II ,fumC,response to oxidative stress,GO:0006979,P05042
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate hydratase class II ,fumC,tricarboxylic acid cycle,GO:0006099,P05042
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Polyribonucleotide nucleotidyltransferase ,pnp,mRNA catabolic process,GO:0006402,P05055
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Polyribonucleotide nucleotidyltransferase ,pnp,response to heat,GO:0009408,P05055
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Polyribonucleotide nucleotidyltransferase ,pnp,RNA catabolic process,GO:0006401,P05055
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Polyribonucleotide nucleotidyltransferase ,pnp,RNA processing,GO:0006396,P05055
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,3-dehydroquinate dehydratase ,aroD,"3,4-dihydroxybenzoate biosynthetic process",GO:0046279,P05194
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,3-dehydroquinate dehydratase ,aroD,aromatic amino acid family biosynthetic process,GO:0009073,P05194
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,3-dehydroquinate dehydratase ,aroD,chorismate biosynthetic process,GO:0009423,P05194
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protease 3 ,ptrA,proteolysis,GO:0006508,P05458
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Erythronate-4-phosphate dehydrogenase ,pdxB,'de novo' pyridoxal 5'-phosphate biosynthetic process,GO:0036001,P05459
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Erythronate-4-phosphate dehydrogenase ,pdxB,pyridoxine biosynthetic process,GO:0008615,P05459
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Formamidopyrimidine-DNA glycosylase ,mutM,base-excision repair,GO:0006284,P05523
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Formamidopyrimidine-DNA glycosylase ,mutM,"base-excision repair, AP site formation",GO:0006285,P05523
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Formamidopyrimidine-DNA glycosylase ,mutM,cellular response to DNA damage stimulus,GO:0006974,P05523
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Formamidopyrimidine-DNA glycosylase ,mutM,nucleotide-excision repair,GO:0006289,P05523
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] ,apaH,nucleobase-containing small molecule interconversion,GO:0015949,P05637
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] ,apaH,response to X-ray,GO:0010165,P05637
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein III ,trg,chemotaxis,GO:0006935,P05704
Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein III ,trg,signal transduction,GO:0007165,P05704
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glucitol/sorbitol-specific phosphotransferase enzyme IIA component ,srlB,phosphoenolpyruvate-dependent sugar phosphotransferase system,GO:0009401,P05706
