cofactor,cofactor_desc,cog_class,cog_class_letter,cog_desc,desc,gene,uniprot
[3Fe-4S] cluster,Binds 1 [3Fe-4S] cluster,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glutamate synthase [NADPH] large chain ,gltB,P09831
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glutamate synthase [NADPH] small chain ,gltD,P09832
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Molybdenum import ATP-binding protein ModC ,modC,P09833
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",ATP-dependent DNA helicase rep ,rep,P09980
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein yidB ,yidB,P09996
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",UvrABC system protein A ,uvrA,P0A698
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Probable ubiquinone biosynthesis protein UbiB ,ubiB,P0A6A0
Mg(2+),Mg(2+). Can also accept Mn(2+),Metabolism,Energy production and conversion,Energy production and conversion,Acetate kinase ,ackA,P0A6A3
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,3-isopropylmalate dehydratase large subunit ,leuC,P0A6A6
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Acyl carrier protein ,acpP,P0A6A8
Zn(2+),Binds 3 Zn(2+) ions. Can also bind Mn(2+) ion,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Endonuclease 4 ,nfo,P0A6C1
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Amino-acid acetyltransferase ,argA,P0A6C5
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetylglutamate kinase ,argB,P0A6C8
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Arginine repressor ,argR,P0A6D0
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,3-phosphoshikimate 1-carboxyvinyltransferase ,aroA,P0A6D3
Mg(2+),Binds 1 Mg(2+) ion per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Shikimate kinase 1 ,aroK,P0A6D7
Mg(2+),Binds 1 Mg(2+) ion per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Shikimate kinase 2 ,aroL,P0A6E1
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Argininosuccinate synthase ,argG,P0A6E4
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,ATP synthase epsilon chain ,atpC,P0A6E6
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Carbamoyl-phosphate synthase small chain ,carA,P0A6F1
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Glycerol kinase ,glpK,P0A6F3
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",60 kDa chaperonin ,groL,P0A6F5
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",10 kDa chaperonin ,groS,P0A6F9
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Protein YgaD ,pncC,P0A6G3
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",ATP-dependent Clp protease proteolytic subunit ,clpP,P0A6G7
Zn(2+),Binds 1 Zn(2+) ion per subuni,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",ATP-dependent Clp protease ATP-binding subunit ClpX ,clpX,P0A6H1
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",ATP-dependent protease ATPase subunit HslU ,hslU,P0A6H5
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Cardiolipin synthase ,clsA,P0A6H8
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Cytidylate kinase ,cmk,P0A6I0
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Pantothenate kinase ,coaA,P0A6I3
Mg(2+),"Crystallized in the absence of Mg(2+), the catalytic metal is not bound by the protein but probably by non-esterified oxygen atoms from ATP and/or ordered H(2)O (PubMed:11812124)",Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Phosphopantetheine adenylyltransferase ,coaD,P0A6I6
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Dephospho-CoA kinase ,coaE,P0A6I9
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Adenylyl-sulfate kinase ,cysC,P0A6J1
Mg(2+),Binds 2 magnesium or manganese ions per subunit,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,D-alanine--D-alanine ligase A ,ddlA,P0A6J8
Fe(2+),"Upon overproduction is isolated with 1 Fe(2+) ion per monomer, a Ni(2+)-bound form is as active while a Zn(2+)-bound form is inactive (PubMed:9610360)",Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Peptide deformylase ,def,P0A6K3
Mn(2+),Binds 1 or 2 manganese ions,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Phosphopentomutase ,deoB,P0A6K6
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Deoxyribose-phosphate aldolase ,deoC,P0A6L0
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dihydrodipicolinate synthase ,dapA,P0A6L2
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,N-acetylneuraminate lyase ,nanA,P0A6L4
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Altronate oxidoreductase ,uxaB,P0A6L7
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Co-chaperone protein hscB ,hscB,P0A6L9
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Disulfide bond formation protein B ,dsbB,P0A6M2
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",D-tyrosyl-tRNA(Tyr) deacylase ,dtd,P0A6M4
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Elongation factor G ,fusA,P0A6M8
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Elongation factor P ,efp,P0A6N4
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Elongation factor P-like protein ,yeiP,P0A6N8
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Elongation factor Ts ,tsf,P0A6P1
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,GTPase Der ,der,P0A6P5
Mg(2+),Mg(2+) is required for catalysis and for stabilizing the dimer,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Enolase ,eno,P0A6P9
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase ,fabA,P0A6Q3
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase ,fabZ,P0A6Q6
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,3-oxoacyl-[acyl-carrier-protein] synthase 3 ,fabH,P0A6R0
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,DNA-binding protein fis ,fis,P0A6R3
None,No known associated cofactor,Cellular Processes and Signaling,Cell motility,Cell motility,Flagellar L-ring protein ,flgH,P0A6S0
None,No known associated cofactor,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Cell division protein ftsB ,ftsB,P0A6S5
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Glycerol-3-phosphate dehydrogenase [NAD(P)+] ,gpsA,P0A6S7
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glucose-6-phosphate isomerase ,pgi,P0A6T1
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Galactokinase ,galK,P0A6T3
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,GTP cyclohydrolase 1 ,folE,P0A6T5
(R)-lipoate,Binds 1 lipoyl cofactor covalently,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glycine cleavage system H protein ,gcvH,P0A6T9
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Ribosomal RNA small subunit methyltransferase G ,rsmG,P0A6U5
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glycogen synthase ,glgA,P0A6U8
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glucose-1-phosphate adenylyltransferase ,glgC,P0A6V1
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Thiosulfate sulfurtransferase glpE ,glpE,P0A6V5
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glucokinase ,glk,P0A6V8
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Transcription elongation factor greA ,greA,P0A6W5
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Glutamate--cysteine ligase ,gshA,P0A6W9
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Glutamyl-tRNA reductase ,hemA,P0A6X1
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Protein hfq ,hfq,P0A6X3
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Integration host factor subunit alpha ,ihfA,P0A6X7
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Integration host factor subunit beta ,ihfB,P0A6Y1
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",33 kDa chaperonin ,hslO,P0A6Y5
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Chaperone protein dnaK ,dnaK,P0A6Y8
