annotation,cog_category,cog_class,cog_id,cog_letter,gene_name,uniprot,go_ids,refseq_id,uniprot_kw_ids,mass_da
Isoleucyl-tRNA synthetase,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0060,J,ileS,P00956,GO:0106074; GO:0005515; GO:0000049; GO:0005829; GO:0008270; GO:0006428; GO:0006418; GO:0002161; GO:0046872; GO:0046677; GO:0016874; GO:0006412; GO:0005524; GO:0004812; GO:0000166; GO:0004822; GO:0005737,YP_003043260.1,KW-0007; KW-0030; KW-0046; KW-0067; KW-0436; KW-0479; KW-0547; KW-0648; KW-0862; KW-0903; KW-0963; KW-1185,104297.0
3-isopropylmalate dehydratase large subunit,Metabolism,Amino acid transport and metabolism,COG0065,E,leuC,P0A6A6,GO:0009098; GO:0009316; GO:0005515; GO:0016829; GO:0009082; GO:0008652; GO:0005829; GO:0051539; GO:0051536; GO:0046872; GO:0003861,YP_003043303.1,KW-0004; KW-0028; KW-0100; KW-0408; KW-0411; KW-0432; KW-0456; KW-0479; KW-0903; KW-1185,49882.0
3-isopropylmalate dehydratase small subunit,Metabolism,Amino acid transport and metabolism,COG0066,E,leuD,P30126,GO:0009316; GO:0009098; GO:0005829; GO:0005515; GO:0009082; GO:0008652; GO:0016829; GO:0003861,YP_003043302.1,KW-0028; KW-0100; KW-0432; KW-0456; KW-0903; KW-1185,22487.0
Glutamate synthase domain 1,Metabolism,Amino acid transport and metabolism,COG0067,E,gltB,P09831,GO:0005829; GO:0016638; GO:0016491; GO:0015930; GO:0008652; GO:0003824; GO:0097054; GO:0006807; GO:0055114; GO:0051538; GO:0051536; GO:0046872; GO:0006541; GO:0005515; GO:0004355; GO:0006537; GO:0019676,YP_003046262.1,KW-0003; KW-0028; KW-0274; KW-0285; KW-0288; KW-0314; KW-0315; KW-0408; KW-0411; KW-0479; KW-0521; KW-0560; KW-0865; KW-0903; KW-1185,163297.0
Hydrogenase maturation factor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones",COG0068,O,hypF,P30131,GO:0016874; GO:0005515; GO:0003725; GO:0051604; GO:0016743; GO:0046944; GO:0046872; GO:0008270,YP_003045751.1,KW-0002; KW-0436; KW-0479; KW-0862; KW-0863; KW-1185,82066.0
Glutamate synthase domain 2,Metabolism,Amino acid transport and metabolism,COG0069,E,gltB,P09831,GO:0005829; GO:0016638; GO:0016491; GO:0015930; GO:0008652; GO:0003824; GO:0097054; GO:0006807; GO:0055114; GO:0051538; GO:0051536; GO:0046872; GO:0006541; GO:0005515; GO:0004355; GO:0006537; GO:0019676,YP_003046262.1,KW-0003; KW-0028; KW-0274; KW-0285; KW-0288; KW-0314; KW-0315; KW-0408; KW-0411; KW-0479; KW-0521; KW-0560; KW-0865; KW-0903; KW-1185,163297.0
Glutamate synthase domain 3,Metabolism,Amino acid transport and metabolism,COG0070,E,gltB,P09831,GO:0005829; GO:0016638; GO:0016491; GO:0015930; GO:0008652; GO:0003824; GO:0097054; GO:0006807; GO:0055114; GO:0051538; GO:0051536; GO:0046872; GO:0006541; GO:0005515; GO:0004355; GO:0006537; GO:0019676,YP_003046262.1,KW-0003; KW-0028; KW-0274; KW-0285; KW-0288; KW-0314; KW-0315; KW-0408; KW-0411; KW-0479; KW-0521; KW-0560; KW-0865; KW-0903; KW-1185,163297.0
Molecular chaperone (small heat shock protein),Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones",COG0071,O,ibpA,P0C054,GO:0009408; GO:0050821; GO:0005829; GO:0042802; GO:0005737; GO:0005515,YP_003046746.1,KW-0143; KW-0346; KW-0903; KW-0963; KW-1185,15774.0
Molecular chaperone (small heat shock protein),Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones",COG0071,O,ibpB,P0C058,GO:0009408; GO:0050821; GO:1990169; GO:0042802; GO:0005737; GO:0005515,YP_003046745.1,KW-0143; KW-0346; KW-0903; KW-0963; KW-1185,16093.0
Phenylalanyl-tRNA synthetase beta subunit,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0072,J,pheT,P07395,GO:0009328; GO:0042802; GO:0006432; GO:0000287; GO:0005829; GO:0046872; GO:0016874; GO:0006412; GO:0005524; GO:0005515; GO:0004812; GO:0003723; GO:0000166; GO:0000049; GO:0004826; GO:0005737,YP_003044881.1,KW-0002; KW-0030; KW-0067; KW-0436; KW-0460; KW-0479; KW-0547; KW-0648; KW-0694; KW-0820; KW-0963; KW-1185,87378.0
EMAP domain,Poorly Characterized,General function prediction only,COG0073,R,metG,P00959,GO:0008270; GO:0005515; GO:0005737; GO:0006431; GO:0006418; GO:0046872; GO:0016874; GO:0006412; GO:0005524; GO:0004812; GO:0003723; GO:0000166; GO:0000049; GO:0004825; GO:0005829,YP_003045237.1,KW-0002; KW-0030; KW-0067; KW-0436; KW-0479; KW-0547; KW-0648; KW-0694; KW-0820; KW-0862; KW-0903; KW-0963; KW-1185,76255.0
EMAP domain,Poorly Characterized,General function prediction only,COG0073,R,pheT,P07395,GO:0009328; GO:0042802; GO:0006432; GO:0000287; GO:0005829; GO:0046872; GO:0016874; GO:0006412; GO:0005524; GO:0005515; GO:0004812; GO:0003723; GO:0000166; GO:0000049; GO:0004826; GO:0005737,YP_003044881.1,KW-0002; KW-0030; KW-0067; KW-0436; KW-0460; KW-0479; KW-0547; KW-0648; KW-0694; KW-0820; KW-0963; KW-1185,87378.0
EMAP domain,Poorly Characterized,General function prediction only,COG0073,R,ygjH,P42589,GO:0003723; GO:0000049,YP_003046128.1,KW-0002; KW-0694; KW-0820; KW-1185,12315.0
"Succinyl-CoA synthetase, alpha subunit",Metabolism,Energy production and conversion,COG0074,C,fdrA,Q47208,GO:0006165; GO:0048037; GO:0003824; GO:0071973; GO:0005886; GO:0016021; GO:0016020; GO:0005829; GO:0004775; GO:0006099; GO:0009142; GO:0006104; GO:0006105; GO:0004550,YP_003043694.1,KW-0002; KW-0472; KW-0812; KW-1003; KW-1133; KW-1185,58596.0
"Succinyl-CoA synthetase, alpha subunit",Metabolism,Energy production and conversion,COG0074,C,sucD,P0AGE9,GO:0006165; GO:0005829; GO:0009361; GO:0046777; GO:0048037; GO:0003824; GO:0005515; GO:0016874; GO:0000166; GO:0004775; GO:0006099; GO:0006105; GO:0009142; GO:0004550; GO:0006104,YP_003043906.1,KW-0002; KW-0436; KW-0547; KW-0816; KW-0903; KW-1185,29777.0
"Succinyl-CoA synthetase, alpha subunit",Metabolism,Energy production and conversion,COG0074,C,yahF,P77187,GO:0006165; GO:0005829; GO:0048037; GO:0003824; GO:0006105; GO:0009142; GO:0004775; GO:0004550; GO:0006104; GO:0006099,YP_003043503.1,KW-1185,55581.0
Glutamate decarboxylase and related PLP-dependent proteins,Metabolism,Amino acid transport and metabolism,COG0076,E,gadA,P69908,GO:0005515; GO:0016831; GO:0016829; GO:0003824; GO:0030170; GO:0019752; GO:0006536; GO:0004351; GO:0051454; GO:0006538; GO:0005829,YP_003046547.1,KW-0002; KW-0210; KW-0456; KW-0663; KW-0903; KW-1185,52685.0
Glutamate decarboxylase and related PLP-dependent proteins,Metabolism,Amino acid transport and metabolism,COG0076,E,gadB,P69910,GO:0005515; GO:0016831; GO:0016829; GO:0005737; GO:0003824; GO:0030170; GO:0019752; GO:0006536; GO:0016020; GO:0004351; GO:0051454; GO:0005829; GO:0006538,YP_003044659.1,KW-0002; KW-0007; KW-0210; KW-0456; KW-0472; KW-0663; KW-0903; KW-0963; KW-1185,52668.0
Prephenate dehydratase,Metabolism,Amino acid transport and metabolism,COG0077,E,pheA,P0A9J8,GO:0016853; GO:0016829; GO:0009073; GO:0008652; GO:0008152; GO:0003824; GO:0046417; GO:0004664; GO:0004106; GO:0006571; GO:0009094; GO:0005737,YP_003045677.1,KW-0002; KW-0028; KW-0057; KW-0413; KW-0456; KW-0511; KW-0584; KW-0963; KW-1185,43111.0
Ornithine carbamoyltransferase,Metabolism,Amino acid transport and metabolism,COG0078,E,argF,P06960,GO:0006974; GO:0016743; GO:0016740; GO:0046872; GO:0016597; GO:0006591; GO:0006520; GO:0008652; GO:0004585; GO:0006526; GO:0005737; GO:0019240; GO:0042450,,KW-0028; KW-0055; KW-0479; KW-0808; KW-0862; KW-0903; KW-0963; KW-1185,36827.0
Ornithine carbamoyltransferase,Metabolism,Amino acid transport and metabolism,COG0078,E,argI,P04391,GO:0016743; GO:0016740; GO:0003824; GO:0046872; GO:0016597; GO:0008152; GO:0006591; GO:0006520; GO:0008652; GO:0004585; GO:0006526; GO:0005737; GO:0019240; GO:0042450,YP_003047289.1,KW-0002; KW-0021; KW-0028; KW-0055; KW-0479; KW-0808; KW-0862; KW-0903; KW-0963; KW-1185,36907.0
Ornithine carbamoyltransferase,Metabolism,Amino acid transport and metabolism,COG0078,E,ygeW,Q46803,GO:0016740; GO:0016743; GO:0016597; GO:0006520; GO:0006207; GO:0004070; GO:0042450; GO:0019240; GO:0004585,YP_003045891.1,KW-0002; KW-0808; KW-1185,44187.0
Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase,Metabolism,Amino acid transport and metabolism,COG0079,E,hisC,P06986,GO:0005829; GO:0042802; GO:0016740; GO:0009058; GO:0008652; GO:0008483; GO:0003824; GO:0030170; GO:0004400; GO:0000105,YP_003045117.1,KW-0002; KW-0028; KW-0032; KW-0368; KW-0663; KW-0808; KW-1185,39360.0
Ribosomal protein L11,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0080,J,rplK,P0A7J7,GO:0070180; GO:0000027; GO:0005829; GO:0005840; GO:0003723; GO:0006412; GO:0003735; GO:0015968; GO:0006415; GO:0022625; GO:0019843; GO:0005515; GO:0015934,YP_003047032.1,KW-0002; KW-0488; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,14875.0
Ribosomal protein L1,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0081,J,rplA,P0A7L0,GO:0000027; GO:0005829; GO:0006417; GO:0006412; GO:0015934; GO:0003735; GO:0022625; GO:0019843; GO:0005840; GO:0005515; GO:0003723; GO:0000049; GO:0045947; GO:0000470,YP_003047033.1,KW-0002; KW-0678; KW-0687; KW-0689; KW-0694; KW-0699; KW-0810; KW-0820; KW-0903; KW-1185,24730.0
Chorismate synthase,Metabolism,Amino acid transport and metabolism,COG0082,E,aroC,P12008,GO:0010181; GO:0005829; GO:0042802; GO:0016829; GO:0009073; GO:0008652; GO:0004107; GO:0009423,YP_003045446.1,KW-0028; KW-0057; KW-0274; KW-0285; KW-0288; KW-0456; KW-0521; KW-0903; KW-1185,39137.0
Homoserine kinase,Metabolism,Amino acid transport and metabolism,COG0083,E,thrB,P00547,GO:0016740; GO:0016301; GO:0008652; GO:0006566; GO:0005829; GO:0016310; GO:0005524; GO:0000166; GO:0004413; GO:0009088; GO:0005737,YP_003043232.1,KW-0028; KW-0067; KW-0418; KW-0547; KW-0791; KW-0808; KW-0963; KW-1185,33624.0
Mg-dependent DNase,Information Storage and Processing,"Replication, recombination and repair",COG0084,L,tatD,P27859,GO:0005737; GO:0046872; GO:0004536; GO:0090305; GO:0000287; GO:0008408; GO:0004527; GO:0016788; GO:0090503; GO:0008310; GO:0000175; GO:0000738; GO:0090501; GO:0042542; GO:0016787; GO:0004518; GO:0016888; GO:0005829,YP_003046906.1,KW-0002; KW-0269; KW-0378; KW-0460; KW-0464; KW-0479; KW-0540; KW-0903; KW-0963; KW-1185,28974.0
Mg-dependent DNase,Information Storage and Processing,"Replication, recombination and repair",COG0084,L,ycfH,P0AFQ7,GO:0006259; GO:0005515; GO:0016788; GO:0004536; GO:0005829; GO:0016888; GO:0046872; GO:0016787,YP_003044314.1,KW-0002; KW-0378; KW-0479; KW-1185,29809.0
"DNA-directed RNA polymerase, beta subunit/140 kD subunit",Information Storage and Processing,Transcription,COG0085,K,rpoB,P0A8V2,GO:0032549; GO:0003677; GO:0005829; GO:0016779; GO:0016740; GO:0006351; GO:0005515; GO:0003899,YP_003047036.1,KW-0002; KW-0007; KW-0046; KW-0240; KW-0548; KW-0804; KW-0808; KW-0903; KW-1185,150632.0
"DNA-directed RNA polymerase, beta' subunit/160 kD subunit",Information Storage and Processing,Transcription,COG0086,K,rpoC,P0A8T7,GO:0003677; GO:0005829; GO:0016779; GO:0016740; GO:0005515; GO:0003899; GO:0006351,YP_003047037.1,KW-0002; KW-0007; KW-0046; KW-0240; KW-0460; KW-0479; KW-0548; KW-0804; KW-0808; KW-0862; KW-0903; KW-1185,155160.0
Ribosomal protein L3,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0087,J,rplC,P60438,GO:0000027; GO:0005515; GO:0005829; GO:0006412; GO:0003735; GO:0022625; GO:0019843; GO:0005840; GO:0003723,YP_003046356.1,KW-0002; KW-0488; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,22244.0
Ribosomal protein L4,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0088,J,rplD,P60723,GO:0030371; GO:0045892; GO:0042788; GO:0042255; GO:0032993; GO:0015934; GO:0001217; GO:0017148; GO:0060698; GO:0060702; GO:0005515; GO:0005829; GO:0006417; GO:0006412; GO:0003735; GO:0022625; GO:0046677; GO:0019843; GO:0006353; GO:0005840; GO:0003723,YP_003046355.1,KW-0002; KW-0046; KW-0678; KW-0687; KW-0689; KW-0694; KW-0699; KW-0804; KW-0805; KW-0806; KW-0810; KW-0903; KW-1185,22087.0
Ribosomal protein L23,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0089,J,rplW,P0ADZ0,GO:0000027; GO:0005515; GO:0006412; GO:0003735; GO:0022625; GO:0019843; GO:0005840; GO:0003723,YP_003046354.1,KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,11199.0
Ribosomal protein L2,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0090,J,rplB,P60422,GO:0008270; GO:0000027; GO:0005829; GO:0005515; GO:0016740; GO:0015934; GO:0006412; GO:0003735; GO:0022625; GO:0019843; GO:0005840; GO:0003723; GO:0002181,YP_003046353.1,KW-0002; KW-0007; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,29860.0
Ribosomal protein L22,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0091,J,rplV,P61175,GO:0042788; GO:0042255; GO:0005829; GO:0005515; GO:0015934; GO:0006412; GO:0003735; GO:0022625; GO:0046677; GO:0019843; GO:0005840; GO:0003723,YP_003046351.1,KW-0002; KW-0046; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,12226.0
Ribosomal protein S3,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0092,J,rpsC,P0A7V3,GO:0022627; GO:0003729; GO:0000028; GO:0003676; GO:0005829; GO:0015935; GO:0005840; GO:0019843; GO:0006412; GO:0003735; GO:0003723,YP_003046350.1,KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,25983.0
Ribosomal protein L14,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0093,J,rplN,P0ADY3,GO:0005829; GO:0019843; GO:0015934; GO:0005840; GO:0003723; GO:0006412; GO:0003735; GO:0070180; GO:0005515; GO:0022625,YP_003046346.1,KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,13541.0
Ribosomal protein L5,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0094,J,rplE,P62399,GO:0000027; GO:0008097; GO:0005829; GO:0006412; GO:0003735; GO:0022625; GO:0019843; GO:0005840; GO:0003723; GO:0000049,YP_003046344.1,KW-0002; KW-0007; KW-0687; KW-0689; KW-0694; KW-0699; KW-0820; KW-0903; KW-1185,20302.0
Lipoate-protein ligase A,Metabolism,Coenzyme transport and metabolism,COG0095,H,lplA,P32099,GO:0016979; GO:0017118; GO:0016874; GO:0006464; GO:0005829; GO:0009249; GO:0000166; GO:0005524; GO:0005737; GO:0005739,YP_003047422.1,KW-0002; KW-0067; KW-0436; KW-0547; KW-0903; KW-0963; KW-1185,37926.0
Ribosomal protein S8,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0096,J,rpsH,P0A7W7,GO:0022627; GO:0019843; GO:0043488; GO:0000028; GO:0005829; GO:0005840; GO:0003723; GO:0006417; GO:0006412; GO:0003735,YP_003046342.1,KW-0002; KW-0678; KW-0687; KW-0689; KW-0694; KW-0699; KW-0810; KW-0903; KW-1185,14127.0
Ribosomal protein L6P/L9E,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0097,J,rplF,P0AG55,GO:0000027; GO:0070180; GO:0005829; GO:0006412; GO:0003735; GO:0022625; GO:0046677; GO:0019843; GO:0005840; GO:0003723; GO:0002181,YP_003046341.1,KW-0002; KW-0007; KW-0046; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,18904.0
Ribosomal protein S5,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0098,J,rpsE,P0A7W1,GO:0000028; GO:1990145; GO:0005829; GO:0005515; GO:0015935; GO:0006412; GO:0003735; GO:0022627; GO:0046677; GO:0019843; GO:0005840; GO:0003723,YP_003046339.1,KW-0002; KW-0007; KW-0046; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,17603.0
Ribosomal protein S13,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0099,J,rpsM,P0A7S9,GO:0022627; GO:0005515; GO:0005829; GO:0005840; GO:0006412; GO:0003735; GO:0003676; GO:0019843; GO:0003723; GO:0000049; GO:0015935,YP_003046334.1,KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0820; KW-0903; KW-1185,13099.0
Ribosomal protein S11,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0100,J,rpsK,P0A7R9,GO:0022627; GO:0070181; GO:0003735; GO:0005515; GO:0005829; GO:0019843; GO:0005840; GO:0003723; GO:0006412; GO:0000028; GO:0000462; GO:0048027,YP_003046333.1,KW-0002; KW-0488; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185,13845.0
Pseudouridylate synthase,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0101,J,truA,P07649,GO:0106029; GO:0009451; GO:0016853; GO:0008033; GO:0003723; GO:0001522; GO:0000049; GO:0031119; GO:0009982,YP_003045435.1,KW-0002; KW-0413; KW-0819; KW-0903; KW-1185,30400.0
Ribosomal protein L13,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0102,J,rplM,P0AA10,GO:0008270; GO:0017148; GO:0070180; GO:0005829; GO:0006412; GO:0003735; GO:0022625; GO:0005840; GO:0003729,YP_003046276.1,KW-0002; KW-0687; KW-0689; KW-0903; KW-1185,16019.0
Ribosomal protein S9,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0103,J,rpsI,P0A7X3,GO:0005829; GO:0006412; GO:0003735; GO:0022627; GO:0005840; GO:0003723; GO:0000049; GO:0015935,YP_003046275.1,KW-0002; KW-0687; KW-0689; KW-0694; KW-0820; KW-0903; KW-1185,14856.0
Adenylosuccinate synthase,Metabolism,Nucleotide transport and metabolism,COG0104,F,purA,P0A7D4,GO:0004019; GO:0015949; GO:0006164; GO:0046086; GO:0006974; GO:0000287; GO:0005515; GO:0016874; GO:0044208; GO:0005829; GO:0046872; GO:0005525; GO:0000166; GO:0005737; GO:0046040,YP_003047214.1,KW-0002; KW-0342; KW-0436; KW-0460; KW-0479; KW-0547; KW-0658; KW-0903; KW-0963; KW-1185,47345.0
Nucleoside diphosphate kinase,Metabolism,Nucleotide transport and metabolism,COG0105,F,ndk,P0A763,GO:0005829; GO:0016740; GO:0016301; GO:0016310; GO:0009117; GO:0006241; GO:0006228; GO:0006183; GO:0006165; GO:0046872; GO:0005737; GO:0005524; GO:0005515; GO:0000166; GO:0004550; GO:0006220; GO:0006163,YP_003045600.1,KW-0002; KW-0067; KW-0418; KW-0460; KW-0479; KW-0546; KW-0547; KW-0597; KW-0808; KW-0903; KW-0963; KW-1185,15463.0
Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase,Metabolism,Amino acid transport and metabolism,COG0106,E,hisA,P10371,GO:0006974; GO:0005829; GO:0016853; GO:0008652; GO:0003824; GO:0005737; GO:0003949; GO:0000105; GO:0000162,YP_003045120.1,KW-0028; KW-0368; KW-0413; KW-0963; KW-1185,26033.0
Imidazoleglycerol-phosphate synthase,Metabolism,Amino acid transport and metabolism,COG0107,E,hisF,P60664,GO:0005829; GO:0008652; GO:0005737; GO:0003824; GO:0016829; GO:0000107; GO:0009382; GO:0000105,YP_003045121.1,KW-0028; KW-0368; KW-0456; KW-0903; KW-0963; KW-1185,28454.0
"3,4-dihydroxy-2-butanone 4-phosphate synthase",Metabolism,Coenzyme transport and metabolism,COG0108,H,ribB,P0A7J0,GO:0030145; GO:0042802; GO:0046872; GO:0016829; GO:0000287; GO:0005886; GO:0005829; GO:0016020; GO:0009231; GO:0008686,YP_003046098.1,KW-0002; KW-0346; KW-0456; KW-0460; KW-0464; KW-0472; KW-0479; KW-0686; KW-0903; KW-1003; KW-1185,23353.0
Polyprenyltransferase (cytochrome oxidase assembly factor),Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones",COG0109,O,cyoE,P0AEA5,GO:0008495; GO:0048034; GO:0005886; GO:0016765; GO:0016740; GO:0016020; GO:0006783; GO:0016021; GO:0004311; GO:0045333,YP_003043605.1,KW-0350; KW-0472; KW-0808; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,32248.0
Acetyltransferase (isoleucine patch superfamily),Poorly Characterized,General function prediction only,COG0110,R,lacA,P07464,GO:0042802; GO:0016407; GO:0016740; GO:0016746; GO:0005989; GO:0008870; GO:0005737,YP_003043523.1,KW-0002; KW-0012; KW-0422; KW-0677; KW-0808; KW-0903; KW-0963; KW-1185,22799.0
Acetyltransferase (isoleucine patch superfamily),Poorly Characterized,General function prediction only,COG0110,R,wbbJ,P37750,GO:0005829; GO:0016740; GO:0016746; GO:0009103,,KW-0012; KW-0448; KW-0677; KW-0808; KW-1185,21675.0
Acetyltransferase (isoleucine patch superfamily),Poorly Characterized,General function prediction only,COG0110,R,wcaF,P0ACD2,GO:0016413; GO:0046377; GO:0044010; GO:0045228; GO:0016740; GO:0009103; GO:0016746,YP_003045154.1,KW-0012; KW-0448; KW-0677; KW-0808; KW-1185,19962.0
Phosphoglycerate dehydrogenase and related dehydrogenases,Metabolism,Coenzyme transport and metabolism,COG0111,H,pdxB,P05459,GO:0036001; GO:0005829; GO:0016616; GO:0016491; GO:0046983; GO:0033711; GO:0055114; GO:0051287; GO:0008615; GO:0005737,YP_003045437.1,KW-0520; KW-0560; KW-0664; KW-0963; KW-1185,41368.0
Phosphoglycerate dehydrogenase and related dehydrogenases,Metabolism,Coenzyme transport and metabolism,COG0111,H,serA,P0A9T0,GO:0070905; GO:0042802; GO:0016616; GO:0016491; GO:0008652; GO:0051287; GO:0005829; GO:0055114; GO:0004617; GO:0047545; GO:0006564; GO:0030267; GO:0016618,YP_003045932.1,KW-0002; KW-0028; KW-0520; KW-0560; KW-0718; KW-0903; KW-1185,44176.0
Phosphoglycerate dehydrogenase and related dehydrogenases,Metabolism,Amino acid transport and metabolism,COG0111,E,pdxB,P05459,GO:0036001; GO:0005829; GO:0016616; GO:0016491; GO:0046983; GO:0033711; GO:0055114; GO:0051287; GO:0008615; GO:0005737,YP_003045437.1,KW-0520; KW-0560; KW-0664; KW-0963; KW-1185,41368.0
Phosphoglycerate dehydrogenase and related dehydrogenases,Metabolism,Amino acid transport and metabolism,COG0111,E,serA,P0A9T0,GO:0070905; GO:0042802; GO:0016616; GO:0016491; GO:0008652; GO:0051287; GO:0005829; GO:0055114; GO:0004617; GO:0047545; GO:0006564; GO:0030267; GO:0016618,YP_003045932.1,KW-0002; KW-0028; KW-0520; KW-0560; KW-0718; KW-0903; KW-1185,44176.0
