cog,complex,complex_annotation,func,protein,subunits
Energy production and conversion,ATPSYN-CPLX,ATP synthase,ATP synthase F1 complex subunit α,AtpA,3.0
Energy production and conversion,ATPSYN-CPLX,ATP synthase,ATP synthase F0 complex subunit a,AtpB,1.0
Energy production and conversion,ATPSYN-CPLX,ATP synthase,ATP synthase F1 complex subunit ε,AtpC,1.0
Energy production and conversion,ATPSYN-CPLX,ATP synthase,ATP synthase F1 complex subunit β,AtpD,3.0
Energy production and conversion,ATPSYN-CPLX,ATP synthase,ATP synthase F0 complex subunit c,AtpE,10.0
Energy production and conversion,ATPSYN-CPLX,ATP synthase,ATP synthase F0 complex subunit b,AtpF,2.0
Energy production and conversion,ATPSYN-CPLX,ATP synthase,ATP synthase F1 complex subunit γ,AtpG,1.0
Energy production and conversion,ATPSYN-CPLX,ATP synthase,ATP synthase F1 complex subunit &delta;,AtpH,1.0
Energy production and conversion,F-O-CPLX,ATP synthase F0 complex,ATP synthase F0 complex subunit a,AtpB,1.0
Energy production and conversion,F-O-CPLX,ATP synthase F0 complex,ATP synthase F0 complex subunit c,AtpE,10.0
Energy production and conversion,F-O-CPLX,ATP synthase F0 complex,ATP synthase F0 complex subunit b,AtpF,2.0
Energy production and conversion,ATPF-CPLX,ATP synthase F0 complex - subunit b,ATP synthase F0 complex subunit b,AtpF,2.0
Energy production and conversion,ATPE-CPLX,ATP synthase F0 complex - subunit c,ATP synthase F0 complex subunit c,AtpE,10.0
Energy production and conversion,F-1-CPLX,ATP synthase F1 complex,ATP synthase F1 complex subunit α,AtpA,3.0
Energy production and conversion,F-1-CPLX,ATP synthase F1 complex,ATP synthase F1 complex subunit ε,AtpC,1.0
Energy production and conversion,F-1-CPLX,ATP synthase F1 complex,ATP synthase F1 complex subunit β,AtpD,3.0
Energy production and conversion,F-1-CPLX,ATP synthase F1 complex,ATP synthase F1 complex subunit γ,AtpG,1.0
Energy production and conversion,F-1-CPLX,ATP synthase F1 complex,ATP synthase F1 complex subunit &delta;,AtpH,1.0
Energy production and conversion,ATPA-CPLX,ATP synthase F1 complex subunit α,ATP synthase F1 complex subunit α,AtpA,3.0
Energy production and conversion,ATPD-CPLX,ATP synthase F1 complex subunit β,ATP synthase F1 complex subunit β,AtpD,3.0
"Replication, recombination, and repair",CPLX0-3931,ATP-dependent DNA helicase Rep,ATP-dependent DNA helicase Rep,Rep,2.0
Defense Mechanisms,CPLX0-7704,ATP-dependent Lipid A-core flippase,ATP-binding lipopolysaccharide transport protein,MsbA,2.0
"Replication, recombination, and repair",CPLX0-3541,ATP-dependent RNA helicase RhlB,ATP-dependent DNA helicase Rep,Rep,2.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-7923,ATP-independent periplasmic chaperone,ATP-independent periplasmic chaperone,Spy,2.0
Signal transduction mechanisms,PHOSPHO-ATOS,AtoS-N-phospho-L-histidine,sensor histidine kinase AtoS,AtoS,2.0
Carbohydrate transport and metabolism,ABC-58-CPLX,Autoinducer-2 ABC transporter,Autoinducer-2 ABC transporter ATP binding subunit,LsrA,2.0
Carbohydrate transport and metabolism,ABC-58-CPLX,Autoinducer-2 ABC transporter,Autoinducer-2 ABC transporter periplasmic binding protein,LsrB,1.0
Function unknown,CPLX0-8095,"CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system","CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system",RnlA,2.0
Aminio acid transport and metabolism,CPLX0-7940,CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase,CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase,YagE,4.0
Function unknown,CPLX0-7725,CRISPR-associated complex for antiviral defense,type I-E CRISPR system Cascade subunit CasA,CasA,1.0
Function unknown,CPLX0-7725,CRISPR-associated complex for antiviral defense,type I-E CRISPR system Cascade subunit CasB,CasB,2.0
Function unknown,CPLX0-7725,CRISPR-associated complex for antiviral defense,type I-E CRISPR system Cascade subunit CasC,CasC,6.0
Function unknown,CPLX0-7725,CRISPR-associated complex for antiviral defense,type I-E CRISPR system Cascade subunit CasD,CasD,1.0
Function unknown,CPLX0-7725,CRISPR-associated complex for antiviral defense,pre-CRISPR RNA endonuclease,CasE,1.0
Function unknown,CPLX0-8173,CRISPR-associated endoribonuclease Cas2,CRISPR-associated endoribonuclease Cas2,YgbF,2.0
Nucleotide transport and metabolism,CTPSYN-CPLX,CTP synthetase,CTP synthetase,PyrG,4.0
Function unknown,CPLX0-8174,Cas1-Cas2 complex,CRISPR-associated endoribonuclease Cas2,YgbF,2.0
Defense Mechanisms,CPLX0-8174,Cas1-Cas2 complex,multifunctional nuclease Cas1,Cas1,2.0
Signal transduction mechanisms,CPLX0-8274,CheA(L) - phosphorylated,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,CPLX0-7561,ChpB-ChpS complex,ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system,ChpS,1.0
Defense Mechanisms,CPLX0-7561,ChpB-ChpS complex,endoribonuclease toxin ChpB,ChpB,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-881,ClpA ATP-dependent protease specificity component and chaperone,ATP-dependent Clp protease ATP-binding subunit ClpA,ClpA,6.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3104,ClpAP,ATP-dependent Clp protease ATP-binding subunit ClpA,ClpA,12.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3104,ClpAP,ATP-dependent Clp protease proteolytic subunit,ClpP,14.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3108,ClpAXP,ATP-dependent Clp protease ATP-binding subunit ClpA,ClpA,6.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3108,ClpAXP,ATP-dependent Clp protease proteolytic subunit,ClpP,14.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3108,ClpAXP,ATP-dependent Clp protease ATP-binding subunit ClpX,ClpX,6.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3101,ClpP serine protease,ATP-dependent Clp protease proteolytic subunit,ClpP,14.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3102,ClpX ATP-dependent protease specificity component and chaperone,ATP-dependent Clp protease ATP-binding subunit ClpX,ClpX,6.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3107,ClpXP,ATP-dependent Clp protease proteolytic subunit,ClpP,14.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3107,ClpXP,ATP-dependent Clp protease ATP-binding subunit ClpX,ClpX,12.0
General function prediction only,CPLX0-2681,ClpXP protease specificity-enhancing factor,ClpXP protease specificity-enhancing factor,SspB,2.0
Signal transduction mechanisms,PHOSPHO-CPXA,CpxA-N-phospho-L-histidine,"CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA""",CpxA,2.0
Transcription,CPLX0-7748,CpxR-Pasp DNA-binding transcriptional dual regulator,"Phosphorylated DNA-binding transcriptional dual regulator CpxR // ""DNA-binding transcriptional dual regulator CpxR""",CpxR,2.0
Signal transduction mechanisms,PHOSPHO-CREC,CreC-N-phospho-L-histidine,sensory histidine kinase CreC,CreC,2.0
Signal transduction mechanisms,CPLX0-1041,CsrA complex with CsrB RNA,carbon storage regulator,CsrA,18.0
Signal transduction mechanisms,CPLX0-8253,CsrA complex with CsrC RNA,carbon storage regulator,CsrA,9.0
Signal transduction mechanisms,CPLX0-8028,CsrA complex with McaS RNA,carbon storage regulator,CsrA,2.0
General function prediction only,DALADALALIGB-CPLX,D-alanine-D-alanine ligase B,D-alanine-D-alanine ligase B,DdlB,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-8252,D-alanyl-D-alanine carboxypeptidase DacA,D-alanyl-D-alanine carboxypeptidase DacA,DacA,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-8254,D-alanyl-D-alanine carboxypeptidase DacC,D-alanyl-D-alanine carboxypeptidase DacC,DacC,2.0
Carbohydrate transport and metabolism,ABC-42-CPLX,D-allose ABC transporter,D-allose ABC transporter periplasmic binding protein,AlsB,1.0
Carbohydrate transport and metabolism,ABC-42-CPLX,D-allose ABC transporter,D-allose ABC transporter ATP binding subunit,Alsa,1.0
Aminio acid transport and metabolism,DALADEHYDROG-CPLX,D-amino acid dehydrogenase,D-amino acid dehydrogenase,DadA,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3581,D-aminoacyl-tRNA deacylase,D-aminoacyl-tRNA deacylase,Dtd,2.0
Carbohydrate transport and metabolism,CPLX0-3929,D-arabinose 5-phosphate isomerase GutQ,D-arabinose 5-phosphate isomerase GutQ,GutQ,4.0
Carbohydrate transport and metabolism,CPLX0-1262,D-arabinose 5-phosphate isomerase KdsD,D-arabinose 5-phosphate isomerase KdsD,KdsD,4.0
Aminio acid transport and metabolism,DCYSDESULF-CPLX,"D-cysteine desulfhydrase, PLP-dependent",D-cysteine desulfhydrase,DcyD,2.0
Carbohydrate transport and metabolism,ERYTH4PDEHYDROG-CPLX,D-erythrose-4-phosphate dehydrogenase,D-erythrose-4-phosphate dehydrogenase,Epd,4.0
Carbohydrate transport and metabolism,ABC-18-CPLX,D-galactose / methyl-β-D-galactoside ABC transporter,D-galactose/methyl-galactoside ABC transporter ATP binding subunit,MglA,1.0
Carbohydrate transport and metabolism,ABC-18-CPLX,D-galactose / methyl-β-D-galactoside ABC transporter,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,MglB,1.0
Carbohydrate transport and metabolism,ABC-18-CPLX,D-galactose / methyl-β-D-galactoside ABC transporter,D-galactose/methyl-galactoside ABC transporter membrane subunit,MglC,2.0
Carbohydrate transport and metabolism,GLUCONOKINII-CPLX,"D-gluconate kinase, thermostable","D-gluconate kinase, thermostable",GntK,2.0
Energy production and conversion,CPLX0-8158,D-lactate dehydrogenase,D-lactate dehydrogenase,LdhA,4.0
Carbohydrate transport and metabolism,CPLX0-7646,D-ribose pyranase,ribose ABC transporter ATP binding subunit,RbsA,10.0
Carbohydrate transport and metabolism,CPLX0-7660,D-sedoheptulose 7-phosphate isomerase,D-sedoheptulose 7-phosphate isomerase,GmhA,4.0
"Replication, recombination, and repair",CPLX0-2425,DNA gyrase,DNA gyrase subunit A,GyrA,2.0
"Replication, recombination, and repair",CPLX0-2425,DNA gyrase,DNA gyrase subunit B,GyrB,2.0
"Replication, recombination, and repair",CPLX0-8111,DNA helicase II,DNA helicase II,UvrD,2.0
"Replication, recombination, and repair",CPLX0-7910,"DNA polymerase III, ψ-χ subunit",DNA polymerase III subunit χ,HolC,1.0
"Replication, recombination, and repair",CPLX0-7910,"DNA polymerase III, ψ-χ subunit",DNA polymerase III subunit ψ,HolD,1.0
"Replication, recombination, and repair",CPLX0-3802,"DNA polymerase III, &tau; subunit dimer","DNA polymerase III subunit γ // ""DNA polymerase III subunit &tau;""",DnaX,2.0
"Replication, recombination, and repair",CPLX0-2361,"DNA polymerase III, core enzyme",DNA polymerase III subunit α,DnaE,1.0
"Replication, recombination, and repair",CPLX0-2361,"DNA polymerase III, core enzyme",DNA polymerase III subunit ε,DnaQ,1.0
Function unknown,CPLX0-2361,"DNA polymerase III, core enzyme",DNA polymerase III subunit θ,HolE,1.0
"Replication, recombination, and repair",CPLX0-3803,"DNA polymerase III, holoenzyme",DNA polymerase III subunit α,DnaE,3.0
"Replication, recombination, and repair",CPLX0-3803,"DNA polymerase III, holoenzyme",β sliding clamp,DnaN,4.0
"Replication, recombination, and repair",CPLX0-3803,"DNA polymerase III, holoenzyme",DNA polymerase III subunit ε,DnaQ,3.0
"Replication, recombination, and repair",CPLX0-3803,"DNA polymerase III, holoenzyme","DNA polymerase III subunit γ // ""DNA polymerase III subunit &tau;""",DnaX,5.0
"Replication, recombination, and repair",CPLX0-3803,"DNA polymerase III, holoenzyme",DNA polymerase III subunit &delta;,HolA,1.0
"Replication, recombination, and repair",CPLX0-3803,"DNA polymerase III, holoenzyme",DNA polymerase III subunit χ,HolC,4.0
"Replication, recombination, and repair",CPLX0-3803,"DNA polymerase III, holoenzyme",DNA polymerase III subunit ψ,HolD,4.0
Function unknown,CPLX0-3803,"DNA polymerase III, holoenzyme",DNA polymerase III subunit &delta;',HolB,1.0
Function unknown,CPLX0-3803,"DNA polymerase III, holoenzyme",DNA polymerase III subunit θ,HolE,3.0
"Replication, recombination, and repair",CPLX0-3801,"DNA polymerase III, preinitiation complex","DNA polymerase III subunit γ // ""DNA polymerase III subunit &tau;""",DnaX,3.0
"Replication, recombination, and repair",CPLX0-3801,"DNA polymerase III, preinitiation complex",DNA polymerase III subunit &delta;,HolA,1.0
Function unknown,CPLX0-3801,"DNA polymerase III, preinitiation complex",DNA polymerase III subunit &delta;',HolB,1.0
"Replication, recombination, and repair",CPLX0-3925,DNA polymerase V,DNA polymerase V catalytic protein,UmuC,1.0
Function unknown,CPLX0-3925,DNA polymerase V,DNA polymerase V protein UmuD,UmuD,2.0
Transcription,CPLX0-3301,DNA replication inhibitor,DNA replication inhibitor,CspD,2.0
"Replication, recombination, and repair",CPLX0-2424,DNA topoisomerase IV,DNA topoisomerase IV subunit A,ParC,2.0
"Replication, recombination, and repair",CPLX0-2424,DNA topoisomerase IV,DNA topoisomerase IV subunit B,ParE,2.0
Transcription,CPLX0-8312,DNA-binding transcriptional  repressor CRP-Sxy,transcriptional coactivator for CRP,Sxy,1.0
Signal transduction mechanisms,CPLX0-8312,DNA-binding transcriptional  repressor CRP-Sxy,DNA-binding transcriptional dual regulator CRP,Crp,1.0
Function unknown,CPLX0-7666,DNA-binding transcriptional activator CaiF,DNA-binding transcriptional activator CaiF,CaiF,2.0
Signal transduction mechanisms,CPLX0-8109,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,YahA,2.0
Transcription,PC00003,DNA-binding transcriptional dual regulator AraC,DNA-binding transcriptional dual regulator AraC,AraC,2.0
Transcription,CPLX0-7669,DNA-binding transcriptional dual regulator ArgP,DNA-binding transcriptional dual regulator ArgP,IciA,2.0
Transcription,PC00005,DNA-binding transcriptional dual regulator ArgR,DNA-binding transcriptional dual regulator ArgR,ArgR,6.0
Transcription,CPLX0-7733,DNA-binding transcriptional dual regulator AsnC,DNA-binding transcriptional dual regulator AsnC,AsnC,2.0
Signal transduction mechanisms,PC00004,DNA-binding transcriptional dual regulator CRP,DNA-binding transcriptional dual regulator CRP,Crp,2.0
Transcription,PC00061,DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional dual regulator Cra,Cra,4.0
Transcription,CPLX0-7708,DNA-binding transcriptional dual regulator CueR-Cu+,DNA-binding transcriptional dual regulator CueR,CueR,2.0
Transcription,PC00040,DNA-binding transcriptional dual regulator CysB,DNA-binding transcriptional dual regulator CysB,CysB,4.0
Transcription,CPLX0-7713,DNA-binding transcriptional dual regulator DsdC,DNA-binding transcriptional dual regulator DsdC,DsdC,2.0
Signal transduction mechanisms,CPLX0-7797,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator FNR,Fnr,2.0
Transcription,CPLX0-7705,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Fis,Fis,2.0
"Replication, recombination, and repair",CPLX0-2021,DNA-binding transcriptional dual regulator HU,DNA-binding protein HU-α,HupA,1.0
"Replication, recombination, and repair",CPLX0-2021,DNA-binding transcriptional dual regulator HU,DNA-binding protein HU-β,HupB,1.0
"Replication, recombination, and repair",PC00027,DNA-binding transcriptional dual regulator IHF,integration host factor subunit α,IhfA,1.0
"Replication, recombination, and repair",PC00027,DNA-binding transcriptional dual regulator IHF,integration host factor subunit β,IhfB,1.0
Transcription,CPLX0-7759,DNA-binding transcriptional dual regulator MetR,DNA-binding transcriptional dual regulator MetR,MetR,2.0
Transcription,CPLX0-2541,DNA-binding transcriptional dual regulator ModE,DNA-binding transcriptional dual regulator ModE,ModE,2.0
Transcription,CPLX0-7745,DNA-binding transcriptional dual regulator MurR,DNA-binding transcriptional dual regulator MurR,MurR,4.0
Signal transduction mechanisms,GLNG-CPLX,DNA-binding transcriptional dual regulator NtrC,"NtrC-phosphorylated monomer // ""DNA-binding transcriptional dual regulator NtrC""",GlnG,2.0
Transcription,CPLX0-981,DNA-binding transcriptional dual regulator PspF,DNA-binding transcriptional dual regulator PspF,PspF,6.0
Transcription,TORR-CPLX,DNA-binding transcriptional dual regulator TorR,DNA-binding transcriptional dual regulator TorR,TorR,2.0
Transcription,CPLX0-7734,DNA-binding transcriptional repressor ArsR,DNA-binding transcriptional repressor ArsR,ArsR,2.0
Transcription,CPLX0-7740,DNA-binding transcriptional repressor CytR,DNA-binding transcriptional repressor CytR,CytR,2.0
Transcription,CPLX0-8234,DNA-binding transcriptional repressor FrmR,DNA-binding transcriptional repressor FrmR,FrmR,4.0
Transcription,PC00010,DNA-binding transcriptional repressor LexA,DNA-binding transcriptional repressor LexA,LexA,2.0
Transcription,CPLX0-8043,DNA-binding transcriptional repressor LsrR,DNA-binding transcriptional repressor LsrR,LsrR,4.0
Transcription,CPLX0-7710,DNA-binding transcriptional repressor MarR,DNA-binding transcriptional repressor MarR,MarR,2.0
Transcription,PC00103,DNA-binding transcriptional repressor MngR,DNA-binding transcriptional repressor MngR,MngR,2.0
Transcription,CPLX0-7418,DNA-binding transcriptional repressor MprA,DNA-binding transcriptional repressor MprA,MprA,2.0
Transcription,CPLX0-7756,DNA-binding transcriptional repressor NsrR,DNA-binding transcriptional repressor NsrR,NsrR,2.0
Transcription,CPLX0-7731,DNA-binding transcriptional repressor PaaX,DNA-binding transcriptional repressor PaaX,PaaX,2.0
Transcription,PC00033,DNA-binding transcriptional repressor PurR,DNA-binding transcriptional repressor PurR,PurR,2.0
Transcription,CPLX0-7854,DNA-binding transcriptional repressor TreR,DNA-binding transcriptional repressor TreR,TreR,2.0
Transcription,PC00007,DNA-binding transcriptional repressor TrpR,DNA-binding transcriptional repressor TrpR,TrpR,2.0
Inorganic ion transport and metabolism,CPLX0-7679,DNA-binding transcriptional repressor Zur,DNA-binding transcriptional repressor Zur,Zur,2.0
Coenzyme transport and metabolism,CPLX0-7975,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,NadR,4.0
Inorganic ion transport and metabolism,CPLX0-7444,DUF892 domain-containing protein YciF,DUF892 domain-containing protein YciF,YciF,2.0
Function unknown,CPLX0-8281,DUF945 domain-containing protein YdgA,DUF945 domain-containing protein YdgA,YdgA,2.0
Transcription,CPLX0-7721,DcuR-Phosphorylated DNA-binding transcriptional activator,"DcuR // ""DNA-binding transcriptional activator DcuR""",DcuR,2.0
Energy production and conversion,CPLX0-8306,DcuS-DctA sensor complex,C4 dicarboxylate/orotate:H+ symporter,DctA,1.0
Signal transduction mechanisms,CPLX0-8306,DcuS-DctA sensor complex,"DcuS-N-phospho-L-histidine // ""sensor histidine kinase DcuS""",DcuS,1.0
Signal transduction mechanisms,CPLX0-8304,DcuS-DcuB sensor complex,"DcuS-N-phospho-L-histidine // ""sensor histidine kinase DcuS""",DcuS,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7853,Der GTPase-activating protein YihI,Der GTPase-activating protein YihI,YihI,2.0
