"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Component-Of"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"rcsB"	"b2217"	2316177	2316827	"P<SUP>asp56</SUP> RcsB" // "DNA-binding transcriptional activator RcsB"	"Chromosome Region 47, 2271434->2320812" // "rcsB" // "rcsDB" // "rcsB"	"response to antibiotic" // "single-species biofilm formation on inanimate substrate" // "positive regulation of cell projection organization" // "positive regulation of transcription, DNA-templated" // "negative regulation of transcription, DNA-templated" // "regulation of transcription, DNA-templated" // "phosphorelay signal transduction system" // "transcription, DNA-templated"	"cytosol"	"protein binding" // "DNA-binding transcription activator activity" // "DNA-binding transcription repressor activity" // "DNA binding"
"yafJ"	"b0223"	244327	245094	"putative glutamine amidotransferase YafJ"	"Chromosome Region 5, 197516->246894" // "yafJ"	"glutamine metabolic process"	"cytosol"	"protein binding" // "transferase activity"
"cpsG"	"b2048"	2121609	2122979	PHOSMANMUT-MONOMER	"Chromosome Region 43, 2073918->2123296" // "wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC"	"organic substance metabolic process" // "carbohydrate metabolic process" // "GDP-mannose biosynthetic process" // "lipopolysaccharide biosynthetic process"	"cytosol"	"intramolecular transferase activity, phosphotransferases" // "magnesium ion binding" // "metal ion binding" // "isomerase activity" // "phosphomannomutase activity"
"ysaE"	"b4793"	3720400	3720471	"protein YsaE"	"Chromosome Region 76, 3703425->3752803"	""	""	""
"fcl"	"b2052"	2126225	2127190	"GDP-L-fucose synthase"	"Chromosome Region 44, 2123297->2172675" // "wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC"	"nucleotide-sugar biosynthetic process" // "'de novo' GDP-L-fucose biosynthetic process" // "colanic acid biosynthetic process" // "metabolic process" // "oxidation-reduction process"	"cytosol" // "cytoplasm"	"NADP+ binding" // "oxidoreductase activity" // "catalytic activity" // "protein homodimerization activity" // "coenzyme binding" // "isomerase activity" // "GDP-L-fucose synthase activity"
"ydgV"	"b4777"	1673608	1673709	"protein YdgV"	"Chromosome Region 34, 1629507->1678885"	""	""	""
"waaA"	"b3633"	3808540	3809817	"KDO transferase"	"Chromosome Region 78, 3802183->3851561" // "waaA" // "waaA" // "kdtA-coaD"	"lipopolysaccharide biosynthetic process" // "lipopolysaccharide core region biosynthetic process" // "Kdo2-lipid A biosynthetic process" // "lipid A biosynthetic process"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"transferase activity"
"yqfH"	"b4753"	3032939	3033010	"protein YqfH"	"Chromosome Region 62, 3012119->3061497"	""	""	""
"ugd"	"b2028"	2098447	2099613	"UDP-glucose 6-dehydrogenase"	"Chromosome Region 43, 2073918->2123296" // "ugd"	"polysaccharide biosynthetic process" // "lipopolysaccharide biosynthetic process" // "UDP-glucuronate biosynthetic process" // "oxidation-reduction process" // "colanic acid biosynthetic process"	"cytosol"	"protein binding" // "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" // "oxidoreductase activity" // "NAD binding" // "UDP-glucose 6-dehydrogenase activity"
"ybgU"	"b4735"	754674	754781	"protein YbgU"	"Chromosome Region 16, 740685->790063"	""	""	""
"flk"	"b2321"	2437950	2438945	"putative flagella assembly protein"	"Chromosome Region 50, 2419571->2468949" // "flk"	"regulation of gene expression"	"integral component of plasma membrane" // "intrinsic component of membrane" // "membrane" // "integral component of membrane" // "plasma membrane"	""
"yqeL"	"b4683"	2989819	2989899	"uncharacterized protein YqeL"	"Chromosome Region 61, 2962740->3012118"	""	""	""
"fliQ"	"b1949"	2022616	2022885	"flagellar biosynthesis protein FliQ"	"Chromosome Region 41, 1975160->2024538" // "fliLMNOPQR" // "fliLMNOPQR"	"bacterial-type flagellum assembly" // "protein secretion"	"bacterial-type flagellum" // "plasma membrane" // "bacterial-type flagellum basal body" // "integral component of membrane" // "membrane"	""
"appX"	"b4592"	1040445	1040537	"small protein AppX"	"Chromosome Region 22, 1036959->1086337" // "appCBA-yccB"	""	"integral component of plasma membrane" // "plasma membrane" // "membrane" // "cell outer membrane" // "integral component of membrane"	""
"ybhI"	"b0770"	801887	803320	"putative tricarboxylate transporter"	"Chromosome Region 17, 790064->839442" // "ybhI"	"transmembrane transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity"
"ybaE"	"b0445"	465612	467312	"uncharacterized protein YbaE"	"Chromosome Region 10, 444411->493789" // "ybaE"	"amide transport"	"outer membrane-bounded periplasmic space"	"peptide transmembrane transporter activity"
"glpG"	"b3424"	3560622	3561452	"rhomboid protease GlpG"	"Chromosome Region 73, 3555288->3604666" // "glpGR" // "glpEGR"	"proteolysis"	"integral component of plasma membrane" // "membrane" // "plasma membrane" // "integral component of membrane"	"identical protein binding" // "endopeptidase activity" // "hydrolase activity" // "peptidase activity" // "serine-type endopeptidase activity" // "serine-type peptidase activity"
"yadS"	"b0157"	177001	177624	"PF03458 family protein YadS"	"Chromosome Region 4, 148137->197515" // "mtnp" // "mtn" // "btuF" // "yadS"	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
"ppiD"	"b0441"	461915	463786	"periplasmic folding chaperone"	"Chromosome Region 10, 444411->493789" // "ppiD" // "ppiD"	"protein peptidyl-prolyl isomerization" // "chaperone-mediated protein folding"	"integral component of plasma membrane" // "integral component of external side of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"identical protein binding" // "isomerase activity" // "peptidyl-prolyl cis-trans isomerase activity"
"yaeF"	"b0193"	216179	217003	"peptidase C92 family protein YaeF"	"Chromosome Region 5, 197516->246894" // "yaeF"	"proteolysis"	"outer membrane-bounded periplasmic space" // "plasma membrane" // "membrane"	"hydrolase activity" // "cysteine-type peptidase activity" // "peptidase activity"
"fepG"	"b0589"	620196	621188	"ferric enterobactin ABC transporter membrane subunit FepG"	"Chromosome Region 13, 592548->641926" // "fepDGC" // "fepDGC"	"transmembrane transport" // "siderophore-dependent iron import into cell" // "ferric-enterobactin import into cell" // "iron ion homeostasis" // "ion transport"	"cell" // "ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing" // "integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity" // "ferric-enterobactin transmembrane transporter activity"
"yiiR"	"b3921"	4112315	4112755	"DUF805 domain-containing protein YiiR"	"Chromosome Region 84, 4098457->4147835" // "yiiR"	""	"plasma membrane" // "integral component of membrane"	""
"dgoT"	"b3691"	3870438	3871730	"D-galactonate:H<sup>+</sup> symporter"	"Chromosome Region 79, 3851562->3900940" // "dgoRp" // "dgoR" // "dgoK" // "dgoA" // "dgoD" // "dgoT"	"D-galactonate transmembrane transport" // "D-galactonate catabolic process" // "transmembrane transport"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"solute:proton symporter activity" // "D-galactonate transmembrane transporter activity"
"yjiS"	"b4341"	4571751	4571915	"DUF1127 domain-containing protein YjiS"	"Chromosome Region 93, 4542868->4592246" // "yjiS"	""	""	""
"cpxA"	"b3911"	4103602	4104975	"CpxA-<i>N</i>-phospho-L-histidine" // "sensor histidine kinase CpxA"	"Chromosome Region 84, 4098457->4147835" // "cpxRA"	"protein dephosphorylation" // "cellular response to cell envelope stress" // "phosphorelay signal transduction system" // "response to radiation" // "cell adhesion" // "signal transduction by protein phosphorylation" // "peptidyl-histidine phosphorylation" // "cell adhesion involved in biofilm formation" // "phosphorylation" // "signal transduction" // "protein autophosphorylation"	"outer membrane-bounded periplasmic space" // "cytosol" // "integral component of plasma membrane" // "membrane" // "plasma membrane" // "integral component of membrane"	"phosphoprotein phosphatase activity" // "identical protein binding" // "protein binding" // "transferase activity, transferring phosphorus-containing groups" // "transferase activity" // "kinase activity" // "protein histidine kinase activity" // "nucleotide binding" // "ATP binding" // "phosphorelay sensor kinase activity"
"slyX"	"b3348"	3477640	3477858	"protein SlyX"	"Chromosome Region 71, 3456530->3505908" // "slyX"	""	"cytosol"	""
"yjhB"	"b4279"	4504058	4505275	"putative sialic acid transporter"	"Chromosome Region 92, 4493489->4542867" // "yjhC" // "yjhB" // "yjhC" // "yjhB" // "yjhC" // "yjhB" // "yjhBp2" // "yjhC" // "yjhB"	"transmembrane transport"	"plasma membrane" // "integral component of membrane" // "membrane"	""
"yhgN"	"b3434"	3575071	3575664	"putative inner membrane protein"	"Chromosome Region 73, 3555288->3604666" // "yhgN"	""	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	""
"ydjE"	"b1769"	1852621	1853979	"putative transporter YdjE"	"Chromosome Region 38, 1827023->1876401" // "ydjE"	"transmembrane transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity"
"psiE"	"b4030"	4240325	4240735	"putative phosphate starvation-inducible protein PsiE"	"Chromosome Region 86, 4197215->4246593" // "psiE"	"cellular response to phosphate starvation"	"plasma membrane" // "integral component of membrane" // "membrane"	""
"uraA"	"b2497"	2618871	2620160	"uracil:H<sup>+</sup> symporter UraA"	"Chromosome Region 54, 2617087->2666465" // "upp-uraA"	"uracil import across plasma membrane" // "transmembrane transport" // "uracil transport"	"integral component of membrane" // "integral component of plasma membrane" // "plasma membrane" // "membrane"	"transmembrane transporter activity" // "protein homodimerization activity" // "uracil transmembrane transporter activity" // "uracil:cation symporter activity"
"yhaL"	"b3107"	3255043	3255207	"uncharacterized protein YhaL"	"Chromosome Region 66, 3209635->3259013" // "yhaL" // "yhaK"	""	""	""
"ccmC"	"b2199"	2295583	2296320	"heme trafficking system membrane protein CcmC"	"Chromosome Region 47, 2271434->2320812" // "ccmABCDEFGH" // "napFDAGHBC-ccmABCDEFGH" // "napFDAGHBC-ccmABCDEFGH"	"protein-heme linkage" // "heme transport" // "cytochrome complex assembly"	"plasma membrane" // "integral component of membrane" // "membrane" // "integral component of plasma membrane"	"heme binding" // "heme transporter activity" // "protein binding"
"dedA"	"b2317"	2434082	2434741	"DedA family protein DedA"	"Chromosome Region 50, 2419571->2468949" // "usg-truA-dedA" // "pdxB-usg-truA-dedA"	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
"metI"	"b0198"	220968	221621	"L-methionine/D-methionine ABC transporter membrane subunit"	"Chromosome Region 5, 197516->246894" // "metNIQ"	"transmembrane transport" // "L-alpha-amino acid transmembrane transport" // "D-methionine transport" // "methionine transport" // "amino acid transport"	"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing" // "integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"L-methionine transmembrane transporter activity" // "D-methionine transmembrane transporter activity" // "protein binding"
"yqfA"	"b2899"	3042489	3043148	"hemolysin-III family protein YqfA"	"Chromosome Region 62, 3012119->3061497" // "yqfA"	"cytolysis"	"plasma membrane" // "integral component of membrane" // "membrane"	""
"bacA"	"b3057"	3203310	3204131	"undecaprenyl pyrophosphate phosphatase"	"Chromosome Region 65, 3160256->3209634" // "bacA"	"peptidoglycan metabolic process" // "cell wall organization" // "dephosphorylation" // "response to antibiotic" // "peptidoglycan biosynthetic process" // "regulation of cell shape"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"pyrophosphatase activity" // "hydrolase activity" // "undecaprenyl-diphosphatase activity"
"ygcE"	"b2776"	2901896	2903374	"putative sugar kinase YgcE"	"Chromosome Region 59, 2863982->2913360" // "ygcE" // "yqcE"	"carbohydrate metabolic process" // "phosphorylation"	""	"phosphotransferase activity, alcohol group as acceptor" // "transferase activity" // "kinase activity"
"clsA"	"b1249"	1307185	1308645	"cardiolipin synthase A"	"Chromosome Region 27, 1283854->1333232" // "yciU" // "clsA" // "clsAp"	"lipid metabolic process" // "cardiolipin biosynthetic process" // "phospholipid biosynthetic process"	"plasma membrane" // "integral component of membrane" // "membrane"	"phosphotransferase activity, for other substituted phosphate groups" // "transferase activity" // "catalytic activity" // "cardiolipin synthase activity"
"yfeZ"	"b2433"	2551277	2551726	"putative inner membrane protein"	"Chromosome Region 52, 2518329->2567707" // "ypeA" // "yfeZ"	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
"yqiK"	"b3051"	3192864	3194525	"protein YqiK"	"Chromosome Region 65, 3160256->3209634" // "yqiK" // "yqiJ"	""	"cytosol" // "integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	""
"yegV"	"b2100"	2181096	2182061	"putative sugar kinase YegV"	"Chromosome Region 45, 2172676->2222054" // "yegTp" // "yegV" // "yegU" // "yegT"	"carbohydrate phosphorylation" // "phosphorylation"	"cytosol"	"carbohydrate kinase activity" // "phosphotransferase activity, alcohol group as acceptor" // "transferase activity" // "kinase activity"
"hcaT"	"b2536"	2666707	2667846	"putative 3-phenylpropionate transporter"	"Chromosome Region 55, 2666466->2715844" // "hcaT"	"lactose transport" // "transmembrane transport"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"lactose binding" // "lactose:proton symporter activity" // "symporter activity"
"yeaY"	"b1806"	1889951	1890532	"Slp family lipoprotein YeaY"	"Chromosome Region 39, 1876402->1925780" // "tsaB-yeaY" // "yeaY"	""	"outer membrane" // "plasma membrane" // "membrane"	""
"yeaV"	"b1801"	1883188	1884633	"putative transporter YeaV"	"Chromosome Region 39, 1876402->1925780" // "yeaW" // "yeaV"	"transmembrane transport" // "nitrogen compound transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity"
"ydhV"	"b1673"	1751728	1753830	"putative oxidoreductase YdhV"	"Chromosome Region 36, 1728265->1777643" // "ydhYVWXUT" // "ydhY" // "ydhV" // "ydhW"	"electron transport chain" // "oxidation-reduction process"	""	"molybdopterin cofactor binding" // "oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor" // "electron transfer activity" // "4 iron, 4 sulfur cluster binding" // "metal ion binding" // "iron-sulfur cluster binding" // "oxidoreductase activity"
"ydgC"	"b1607"	1681695	1682030	"GlpM family protein"	"Chromosome Region 35, 1678886->1728264" // "ydgC"	""	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	""
"yncG"	"b1454"	1526247	1526864	"putative glutathione <i>S</i>-transferase YncG"	"Chromosome Region 31, 1481370->1530748" // "yncGp" // "yncG"	""	"cytosol"	"transferase activity"
"nirC"	"b3367"	3497003	3497809	NIRC-MONOMER	"Chromosome Region 71, 3456530->3505908" // "nirBDC-cysG"	"nitrate transport" // "transmembrane transport" // "nitrate assimilation" // "nitrite transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity" // "high-affinity secondary active nitrite transmembrane transporter activity"
"ychS"	"b1228"	1286709	1286984	"putative uncharacterized protein YchS"	"Chromosome Region 27, 1283854->1333232" // "ychS"	""	""	""
"ssuC"	"b0934"	994041	994832	"aliphatic sulfonate ABC transporter membrane subunit"	"Chromosome Region 21, 987580->1036958" // "ssuEADCB"	"transmembrane transport" // "sulfur compound metabolic process" // "alkanesulfonate transport"	"integral component of plasma membrane" // "ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing" // "plasma membrane" // "integral component of membrane" // "membrane"	"alkanesulfonate transmembrane transporter activity"
"yccS"	"b0960"	1021730	1023883	"putative transporter YccS"	"Chromosome Region 21, 987580->1036958" // "yccFp" // "yccF" // "yccS"	"transmembrane transport"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity"
"kdpD"	"b0695"	721730	724414	"sensory histidine kinase KdpD"	"Chromosome Region 15, 691306->740684" // "kdpDE"	"dephosphorylation" // "phosphorelay signal transduction system" // "cellular response to salt stress" // "cellular response to extracellular stimulus" // "signal transduction by protein phosphorylation" // "peptidyl-histidine phosphorylation" // "phosphorylation" // "signal transduction" // "protein autophosphorylation" // "detection of chemical stimulus"	"integral component of plasma membrane" // "membrane" // "plasma membrane" // "integral component of membrane"	"transcription factor binding" // "protein homodimerization activity" // "phosphatase activity" // "transferase activity, transferring phosphorus-containing groups" // "transferase activity" // "kinase activity" // "protein histidine kinase activity" // "protein binding" // "nucleotide binding" // "ATP binding" // "phosphorelay sensor kinase activity"
