annotation,b_number,complex,gene_name,n_copies
carbamoyl phosphate synthetase,b0033,CARBPSYN-CPLX,carb,2.0
carbamoyl phosphate synthetase,b0032,CARBPSYN-CPLX,cara,2.0
carbamoyl phosphate synthetase,b2540,HCAMULTI-CPLX,yfhw,1.0
carbamoyl phosphate synthetase,b2542,HCAMULTI-CPLX,yfhy,1.0
carbamoyl phosphate synthetase,b2538,HCAMULTI-CPLX,hcaa,1.0
carbamoyl phosphate synthetase,b2538,HCAMULTI-CPLX,diga,1.0
carbamoyl phosphate synthetase,b1684,CPLX0-7824,ydic,2.0
carbamoyl phosphate synthetase,b2169,CPLX-158,frub,1.0
carbamoyl phosphate synthetase,b2167,CPLX-158,frua,2.0
carbamoyl phosphate synthetase,b0695,KDPD-CPLX,kdpd,2.0
carbamoyl phosphate synthetase,b4241,CPLX0-7854,trer,2.0
carbamoyl phosphate synthetase,b0980,CPLX-722,appa,2.0
carbamoyl phosphate synthetase,b0459,MALTACETYLTRAN-CPLX,maa,3.0
carbamoyl phosphate synthetase,b1430,CPLX0-7913,tehb,2.0
carbamoyl phosphate synthetase,b2782,CPLX0-1242,mazf,4.0
carbamoyl phosphate synthetase,b2783,CPLX0-1242,maze,2.0
carbamoyl phosphate synthetase,b2469,NARQ-CPLX,nitrate/nitrite sensor kinase,2.0
carbamoyl phosphate synthetase,b0046,CPLX0-7939,keff,2.0
carbamoyl phosphate synthetase,b0572,CPLX0-1721,ibeb,3.0
carbamoyl phosphate synthetase,b0574,CPLX0-1721,cusb,6.0
carbamoyl phosphate synthetase,b0573,CPLX0-1721,cusx,1.0
carbamoyl phosphate synthetase,b0575,CPLX0-1721,cusa,3.0
orotate phosphoribosyltransferase,b3642,OROPRIBTRANS-CPLX,pyre,2.0
chloride:H<sup>+</sup> antiporter ClcA,b0155,CPLX0-7961,eric,2.0
chloride:H<sup>+</sup> antiporter ClcA,b3035,CPLX0-2121,weea,3.0
chloride:H<sup>+</sup> antiporter ClcA,b2685,CPLX0-2121,emra,1.0
chloride:H<sup>+</sup> antiporter ClcA,b2686,CPLX0-2121,emrb,1.0
chloride:H<sup>+</sup> antiporter ClcA,b3905,PC00086,rhas,2.0
chloride:H<sup>+</sup> antiporter ClcA,b2729,CPLX0-7986,hydf,1.0
chloride:H<sup>+</sup> antiporter ClcA,b2728,CPLX0-7986,hypc,1.0
chloride:H<sup>+</sup> antiporter ClcA,b2501,CPLX0-2381,ppk,2.0
chloride:H<sup>+</sup> antiporter ClcA,b1084,CPLX0-2381,smbb,4.0
chloride:H<sup>+</sup> antiporter ClcA,b3778,CPLX0-2381,mmra,2.0
chloride:H<sup>+</sup> antiporter ClcA,b3164,CPLX0-2381,bfl,3.0
chloride:H<sup>+</sup> antiporter ClcA,b2779,CPLX0-2381,eno,2.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b1870,CPLX0-8010,cmoa,2.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b0333,CPLX0-251,yahs,2.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b0098,CPLX0-8089,pea,2.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b0131,CPLX0-2901,pand,4.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b0131,CPLX0-2901,pand,4.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b4090,RIB5PISOMB-CPLX,yjca,2.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b3813,CPLX0-8111,uvre,2.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b0437,CPLX0-3108,lopp,14.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b0882,CPLX0-3108,lopd,6.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b0438,CPLX0-3108,lopc,6.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b1748,SUCCORNTRANSAM-CPLX,astc,2.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b1482,CPLX0-8157,osmc,2.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b2794,CPLX0-3501,yqcd,2.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b0996,TMAOREDUCTI-CPLX,torc,1.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b0997,TMAOREDUCTI-CPLX,tora,1.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b4168,CPLX0-8182,tsae,1.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b3064,CPLX0-8182,tsad,1.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b1807,CPLX0-8182,tsab,1.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b3962,UDHA-CPLX,stha,8.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b4053,CPLX0-8202,alr,2.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b2708,CPLX0-3929,srlq,4.0
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b3083,CPLX0-8228,ygjn,2.0
riboflavin synthase,b1662,CPLX0-3952,ribc,3.0
riboflavin synthase,b2840,CPLX0-8251,ygea,2.0
"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",b2746,CPLX0-721,ygbb,3.0
1-phosphofructokinase,b2168,1-PFK,fpk,2.0
shikimate dehydrogenase,b1692,CPLX0-7462,ydib,2.0
shikimate dehydrogenase,b3454,ABC-15-CPLX,livf,1.0
shikimate dehydrogenase,b3455,ABC-15-CPLX,livg,1.0
shikimate dehydrogenase,b3457,ABC-15-CPLX,livh,1.0
shikimate dehydrogenase,b3456,ABC-15-CPLX,livm,1.0
shikimate dehydrogenase,b3460,ABC-15-CPLX,livj,1.0
shikimate dehydrogenase,b3528,CPLX0-8306,dcta,1.0
shikimate dehydrogenase,b4125,CPLX0-8306,yjdh,1.0
shikimate dehydrogenase,b3706,CPLX0-7608,mnme,2.0
shikimate dehydrogenase,b3455,ABC-304-CPLX,hrbc,1.0
shikimate dehydrogenase,b3456,ABC-304-CPLX,livm,1.0
shikimate dehydrogenase,b3457,ABC-304-CPLX,livh,1.0
shikimate dehydrogenase,b3455,ABC-304-CPLX,livg,1.0
shikimate dehydrogenase,b3454,ABC-304-CPLX,livf,1.0
shikimate dehydrogenase,b3607,CYSSYNMULTI-CPLX,cyse,6.0
shikimate dehydrogenase,b2414,CYSSYNMULTI-CPLX,ssi5,2.0
shikimate dehydrogenase,b0019,CPLX0-7629,hyc,2.0
shikimate dehydrogenase,b3463,ABC-54-CPLX,ftse,2.0
shikimate dehydrogenase,b3462,ABC-54-CPLX,ftss,1.0
diaminopimelate decarboxylase,b2838,DIAMINOPIMDECARB-CPLX,lysa,2.0
diaminopimelate decarboxylase,b4036,CPLX0-7655,mall,3.0
acetoacetyl-CoA transferase,b2222,ACETOACETYL-COA-TRANSFER-CPLX,atoa,2.0
acetoacetyl-CoA transferase,b2221,ACETOACETYL-COA-TRANSFER-CPLX,atod,2.0
dihydrolipoyltranssuccinylase,b0727,E2O,e2(o) subunit,24.0
dihydrolipoyltranssuccinylase,b3880,CPLX0-7683,squs,6.0
dihydrolipoyltranssuccinylase,b4177,ADENYLOSUCCINATE-SYN-DIMER,adek,2.0
dihydrolipoyltranssuccinylase,b0180,FABZ-CPLX,yaea,6.0
dihydrolipoyltranssuccinylase,b3481,CPLX0-7707,yhhg,4.0
dihydrolipoyltranssuccinylase,b1767,ANSA-CPLX,ansa,4.0
dihydrolipoyltranssuccinylase,b1612,FUMARASE-A,fuma,2.0
dihydrolipoyltranssuccinylase,b0967,CPLX0-7726,yccw,2.0
dihydrolipoyltranssuccinylase,b3744,ASNSYNA-CPLX,asna,2.0
dihydrolipoyltranssuccinylase,b1002,GLUCOSE-1-PHOSPHAT-CPLX,agp,2.0
dihydrolipoyltranssuccinylase,b1508,CPLX0-7757,hipb,2.0
dihydrolipoyltranssuccinylase,b3732,ATPD-CPLX,uncd,3.0
glyoxylate carboligase,b0507,GLYOCARBOLIG-CPLX,gcl,2.0
aldehyde dehydrogenase,b0286,CPLX0-7805,yagt,1.0
aldehyde dehydrogenase,b0285,CPLX0-7805,yags,1.0
aldehyde dehydrogenase,b0284,CPLX0-7805,yagr,1.0
aldehyde dehydrogenase,b1881,CHEZ-CPLX,chez,2.0
aldehyde dehydrogenase,b2021,HISTPHOSTRANS-CPLX,hisc,2.0
aldehyde dehydrogenase,b2457,CPLX0-7835,yffz,6.0
aldehyde dehydrogenase,b1819,CPLX-165,manz,2.0
aldehyde dehydrogenase,b1818,CPLX-165,many,1.0
aldehyde dehydrogenase,b1817,CPLX-165,manx,2.0
aldehyde dehydrogenase,b2799,LACTALDREDUCT-CPLX,fuco,2.0
oxalyl-CoA decarboxylase,b2373,CPLX0-7878,yfdu,4.0
oxalyl-CoA decarboxylase,b2843,CPLX-8401,yqee,6.0
methionine&mdash;tRNA ligase,b2114,METG-CPLX,metg,2.0
methionine&mdash;tRNA ligase,b2989,CPLX0-7917,yghu,2.0
methionine&mdash;tRNA ligase,b4174,CPLX0-1321,hsly,1.0
methionine&mdash;tRNA ligase,b4175,CPLX0-1321,hfla,1.0
methionine&mdash;tRNA ligase,b1465,NITRATREDUCTZ-CPLX,chlz,1.0
methionine&mdash;tRNA ligase,b1465,NITRATREDUCTZ-CPLX,chlz,1.0
methionine&mdash;tRNA ligase,b1465,NITRATREDUCTZ-CPLX,chlz,1.0
methionine&mdash;tRNA ligase,b3821,CPLX0-7944,plda,2.0
methionine&mdash;tRNA ligase,b2881,CPLX0-1841,ygfn,1.0
methionine&mdash;tRNA ligase,b2880,CPLX0-1841,ygfm,1.0
pantothenate synthetase,b0133,PANTOATE-BETA-ALANINE-LIG-CPLX,panc,2.0
pantothenate synthetase,b3035,CPLX0-7964,weea,3.0
pantothenate synthetase,b0741,CPLX0-2201,pal,1.0
pantothenate synthetase,b0739,CPLX0-2201,lky,1.0
pantothenate synthetase,b0740,CPLX0-2201,tolb,1.0
pantothenate synthetase,b0738,CPLX0-2201,tolr,1.0
pantothenate synthetase,b0737,CPLX0-2201,fii,1.0
pantothenate synthetase,b2418,PDXK-CPLX,pdxl,2.0
pantothenate synthetase,b1326,CPLX0-7989,ycji,2.0
pantothenate synthetase,b2096,CPLX0-241,yegf,1.0
pantothenate synthetase,b2095,CPLX0-241,gatz,1.0
UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase,b3787,CPLX0-8013,mnab,2.0
UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase,b3028,CPLX0-253,mdab,2.0
UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase,b3665,PURE-CPLX,ade,8.0
UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase,b2630,CPLX0-8095,yfjn,2.0
UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase,b4175,CPLX0-2982,hfla,6.0
UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase,b4174,CPLX0-2982,hsly,6.0
UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase,b3178,CPLX0-2982,std,6.0
ribulokinase,b0063,RIBULOKIN-CPLX,arab,2.0
succinyl-diaminopimelate desuccinylase,b2472,CPLX0-3161,msgb,2.0
pyridoxine 5'-phosphate synthase,b2564,CPLX0-321,pdxj,8.0
pyridoxine 5'-phosphate synthase,b1656,SUPEROX-DISMUTFE-CPLX,sodb,2.0
succinate:quinone oxidoreductase,b0722,CPLX0-8160,dhsd,3.0
succinate:quinone oxidoreductase,b0721,CPLX0-8160,dhsc,3.0
succinate:quinone oxidoreductase,b0724,CPLX0-8160,dhsb,3.0
succinate:quinone oxidoreductase,b0723,CPLX0-8160,dhsa,3.0
succinate:quinone oxidoreductase,b2727,CPLX0-3561,hydb,2.0
succinate:quinone oxidoreductase,b3035,TRANS-200-CPLX,weea,3.0
succinate:quinone oxidoreductase,b0879,TRANS-200-CPLX,macb,2.0
succinate:quinone oxidoreductase,b0878,TRANS-200-CPLX,maca,6.0
succinate:quinone oxidoreductase,b1705,CPLX0-8185,ydie,2.0
succinate:quinone oxidoreductase,b0470,CPLX0-3802,dnaz,2.0
succinate:quinone oxidoreductase,b0171,UMPKI-CPLX,umk,6.0
succinate:quinone oxidoreductase,b1198,CPLX0-8206,dham,2.0
succinate:quinone oxidoreductase,b3035,CPLX0-3932,weea,3.0
succinate:quinone oxidoreductase,b2470,CPLX0-3932,acrd,3.0
succinate:quinone oxidoreductase,b0463,CPLX0-3932,sipb,6.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b3146,CPLX0-8231,rsmi,2.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b3985,CPLX0-3956,rplj,1.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b3986,CPLX0-3956,rpll,4.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b1101,CPLX0-8255,ptsg,1.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b1594,CPLX0-8255,mlc,1.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b2684,CPLX0-7418,mpra,2.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b0072,3-ISOPROPYLMALISOM-CPLX,leuc,1.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b0071,3-ISOPROPYLMALISOM-CPLX,leud,1.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b0651,CPLX0-8280,ybek,4.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b0126,CPLX0-7521,yadf,4.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b0765,ABC-19-CPLX,modc,1.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b0764,ABC-19-CPLX,modb,2.0
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b0763,ABC-19-CPLX,moda,1.0
ribosome-dependent mRNA interferase,b4539,CPLX0-8311,yoeb,2.0
ribosome-dependent mRNA interferase,b3133,CPLX0-7610,yhay,1.0
ribosome-dependent mRNA interferase,b3450,ABC-34-CPLX,ugpc,2.0
ribosome-dependent mRNA interferase,b3452,ABC-34-CPLX,ugpa,1.0
ribosome-dependent mRNA interferase,b3451,ABC-34-CPLX,ugpe,1.0
ribosome-dependent mRNA interferase,b3453,ABC-34-CPLX,ugpb,1.0
ribosome-dependent mRNA interferase,b0429,CYT-O-UBIOX-CPLX,cyod,1.0
ribosome-dependent mRNA interferase,b0432,CYT-O-UBIOX-CPLX,cyoa,1.0
ribosome-dependent mRNA interferase,b0431,CYT-O-UBIOX-CPLX,cyob,1.0
ribosome-dependent mRNA interferase,b0430,CYT-O-UBIOX-CPLX,cyoc,1.0
ribosome-dependent mRNA interferase,b1004,CPLX0-7632,wrba,4.0
ribosome-dependent mRNA interferase,b0793,ABC-57-CPLX,ybhs,1.0
ribosome-dependent mRNA interferase,b0792,ABC-57-CPLX,ybhr,1.0
ribosome-dependent mRNA interferase,b0794,ABC-57-CPLX,ybhf,1.0
ribosome-dependent mRNA interferase,b0031,DIHYDROPICRED-CPLX,dapb,4.0
ribosome-dependent mRNA interferase,b0414,CPLX0-7659,ybae,2.0
acetolactate synthase,b0077,ACETOLACTSYNIII-CPLX,ilvi,2.0
acetolactate synthase,b0078,ACETOLACTSYNIII-CPLX,brnp,2.0
acetolactate synthase,b4565,EIISGC,sgcb,1.0
acetolactate synthase,b4304,EIISGC,yjhn,1.0
acetolactate synthase,b4302,EIISGC,yjhl,1.0
acetolactate synthase,b3928,CPLX0-7686,yiiu,2.0
acetolactate synthase,b1241,ADHE-CPLX,adhe,40.0
acetolactate synthase,b3846,FAO-CPLX,oldb,2.0
acetolactate synthase,b3845,FAO-CPLX,olda,2.0
acetolactate synthase,b1530,CPLX0-7710,marr,2.0
acetolactate synthase,b4055,APHA-CPLX,hobh,4.0
fumarate reductase,b4154,FUMARATE-REDUCTASE,frda,1.0
fumarate reductase,b4153,FUMARATE-REDUCTASE,frdb,1.0
fumarate reductase,b4152,FUMARATE-REDUCTASE,frdc,1.0
fumarate reductase,b4151,FUMARATE-REDUCTASE,frdd,1.0
fumarate reductase,b1399,CPLX0-7731,paax,2.0
fumarate reductase,b0928,ASPAMINOTRANS-DIMER,aspc,2.0
imidazole glycerol phosphate synthase,b2023,GLUTAMIDOTRANS-CPLX,hish,1.0
imidazole glycerol phosphate synthase,b2025,GLUTAMIDOTRANS-CPLX,hisf,1.0
imidazole glycerol phosphate synthase,b1276,CPLX0-7760,acn,2.0
ATP synthase,b3738,ATPSYN-CPLX,uncb,1.0
ATP synthase,b3736,ATPSYN-CPLX,uncf,2.0
ATP synthase,b3737,ATPSYN-CPLX,unce,10.0
ATP synthase,b3732,ATPSYN-CPLX,uncd,3.0
ATP synthase,b3733,ATPSYN-CPLX,uncg,1.0
ATP synthase,b3734,ATPSYN-CPLX,unca,3.0
ATP synthase,b3735,ATPSYN-CPLX,unch,1.0
ATP synthase,b3731,ATPSYN-CPLX,uncc,1.0
ATP synthase,b3559,GLYS-CPLX,gly,2.0
ATP synthase,b3560,GLYS-CPLX,cfca,2.0
coproporphyrinogen III oxidase,b2436,CPLX0-7808,sec,2.0
citrate synthase,b0720,CITRATE-SI-SYNTHASE,glut,6.0
citrate synthase,b0003,HOMOSERKIN-CPLX,thrb,2.0
citrate synthase,b2810,CPLX0-7838,ygdj,2.0
citrate synthase,b4240,CPLX-168,treb,2.0
citrate synthase,b2417,CPLX-168,crr,1.0
L(+)-tartrate dehydratase,b3061,LTARTDEHYDRA-CPLX,ygja,2.0
L(+)-tartrate dehydratase,b3062,LTARTDEHYDRA-CPLX,ygjb,2.0
L(+)-tartrate dehydratase,[],CPLX0-7885,ggt-large,1.0
L(+)-tartrate dehydratase,[],CPLX0-7885,ggt-small,1.0
L(+)-tartrate dehydratase,b0331,CPLX0-1021,yahq,4.0
L(+)-tartrate dehydratase,b0199,METNIQ-METHIONINE-ABC-CPLX,metn,2.0
L(+)-tartrate dehydratase,b0198,METNIQ-METHIONINE-ABC-CPLX,meti,2.0
L(+)-tartrate dehydratase,b0197,METNIQ-METHIONINE-ABC-CPLX,metq,1.0
L(+)-tartrate dehydratase,b1743,CPLX0-7923,spy,2.0
L(+)-tartrate dehydratase,b3336,CPLX0-1421,bfr,24.0
L(+)-tartrate dehydratase,b4238,NRDACTMULTI-CPLX,nrdd,2.0
L(+)-tartrate dehydratase,b4237,NRDACTMULTI-CPLX,yjge,2.0
L(+)-tartrate dehydratase,b1745,CPLX0-7947,ydjt,2.0
L(+)-tartrate dehydratase,b1252,CPLX0-1923,exba,1.0
L(+)-tartrate dehydratase,b3006,CPLX0-1923,exbb,1.0
L(+)-tartrate dehydratase,b3005,CPLX0-1923,exbd,1.0
L(+)-tartrate dehydratase,b0064,PC00003,arac,2.0
L(+)-tartrate dehydratase,b3996,CPLX0-7974,nudc,2.0
L(+)-tartrate dehydratase,b0368,CPLX0-227,yaig,4.0
L(+)-tartrate dehydratase,b2913,PGLYCDEHYDROG-CPLX,sera,4.0
L(+)-tartrate dehydratase,b0517,CPLX0-7993,ylbc,2.0
L(+)-tartrate dehydratase,b3030,CPLX0-2424,nfxd,2.0
L(+)-tartrate dehydratase,b3019,CPLX0-2424,parc,2.0
UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase,b0179,CPLX0-8016,omsa,3.0
phenylhydantoinase,b2873,CPLX0-255,ygez,4.0
pyridine nucleotide transhydrogenase,b1602,PYRNUTRANSHYDROGEN-CPLX,pntb,2.0
pyridine nucleotide transhydrogenase,b1603,PYRNUTRANSHYDROGEN-CPLX,pnta,2.0
UDP-glucose 6-dehydrogenase,b2028,CPLX0-8098,udg,2.0
3-octaprenyl-4-hydroxybenzoate decarboxylase,b3843,CPLX0-301,yigy,6.0
3-octaprenyl-4-hydroxybenzoate decarboxylase,b2942,S-ADENMETSYN-CPLX,metx,4.0
3-octaprenyl-4-hydroxybenzoate decarboxylase,b0863,CPLX0-8120,arti,1.0
3-octaprenyl-4-hydroxybenzoate decarboxylase,b0861,CPLX0-8120,artm,1.0
3-octaprenyl-4-hydroxybenzoate decarboxylase,b0862,CPLX0-8120,artq,1.0
3-octaprenyl-4-hydroxybenzoate decarboxylase,b0864,CPLX0-8120,artp,2.0
3-octaprenyl-4-hydroxybenzoate decarboxylase,b2765,CPLX0-8123,sscr,6.0
3-octaprenyl-4-hydroxybenzoate decarboxylase,b2205,CPLX0-3241,yojb,1.0
3-octaprenyl-4-hydroxybenzoate decarboxylase,b2204,CPLX0-3241,yejz,1.0
3-octaprenyl-4-hydroxybenzoate decarboxylase,b4059,CPLX0-8165,lexc,4.0
3-octaprenyl-4-hydroxybenzoate decarboxylase,b1652,CPLX0-3602,rnt,2.0
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter",b3579,TRANS-CPLX-203,yiao,1.0
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter",b3578,TRANS-CPLX-203,yian,1.0
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter",b3577,TRANS-CPLX-203,yiam,1.0
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter",b1176,CPLX0-8188,minb,2.0
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter",b1176,CPLX0-8188,minb,2.0
4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,b1208,CPLX0-3841,ipk,2.0
uridine phosphorylase,b3831,URPHOS-CPLX,udp,6.0
uridine phosphorylase,b3371,CPLX0-821,yhfn,12.0
uridine phosphorylase,b3058,CPLX0-3936,ygig,8.0
uridine phosphorylase,b0357,CPLX0-8234,frmr,4.0
uridine phosphorylase,b3811,CPLX0-3959,xerc,1.0
uridine phosphorylase,b2894,CPLX0-3959,xprb,1.0
uridine phosphorylase,b1098,CPLX0-8260,ycfg,2.0
uridine phosphorylase,b4403,CPLX0-7422,last,2.0
uridine phosphorylase,b3916,6PFK-1-CPX,pfka,4.0
uridine phosphorylase,b0570,CPLX0-8288,cuss,2.0
uridine phosphorylase,b0241,CPLX0-7530,ompe,3.0
uridine phosphorylase,b0127,ABC-21-CPLX,yadg,1.0
uridine phosphorylase,b0128,ABC-21-CPLX,yadh,1.0
uridine phosphorylase,b1967,CPLX0-861,yzzc,2.0
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,b3126,CPLX0-7615,yhaf,6.0
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,b2131,ABC-40-CPLX,yehz,1.0
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,b2130,ABC-40-CPLX,yehy,1.0
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,b2129,ABC-40-CPLX,yehx,1.0
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,b2128,ABC-40-CPLX,yehw,1.0
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,b1189,DALADEHYDROG-CPLX,dadr,2.0
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,b4111,CPLX0-7642,prop proline/betaine mfs transporter,2.0
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,b0887,ABC-6-CPLX,cydd,1.0
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,b0886,ABC-6-CPLX,cydc,1.0
dimethyl sulfoxide reductase,b0894,DIMESULFREDUCT-CPLX,dmsa,1.0
dimethyl sulfoxide reductase,b0895,DIMESULFREDUCT-CPLX,dmsb,1.0
dimethyl sulfoxide reductase,b0896,DIMESULFREDUCT-CPLX,dmsc,1.0
dimethyl sulfoxide reductase,b0034,CPLX0-7666,caif,2.0
dimethyl sulfoxide reductase,b3959,ACETYLGLUTKIN-CPLX,argb,2.0
dimethyl sulfoxide reductase,b0594,ENTE-CPLX,ente,2.0
dimethyl sulfoxide reductase,b4187,CPLX0-7691,aidb,4.0
phosphoribosylformylglycinamide cyclo-ligase,b2557,AIRS-CPLX,puri,2.0
phosphoribosylformylglycinamide cyclo-ligase,b0529,FOLD-CPLX,ads,2.0
phosphoribosylformylglycinamide cyclo-ligase,b2364,CPLX0-7713,dsdc,2.0
phosphoribosylformylglycinamide cyclo-ligase,b0062,ARABISOM-CPLX,araa,6.0
phosphoribosylformylglycinamide cyclo-ligase,b0758,GALACTURIDYLYLTRANS-CPLX,galb,2.0
phosphoribosylformylglycinamide cyclo-ligase,b3501,CPLX0-7734,arsr,2.0
phosphoribosylformylglycinamide cyclo-ligase,b4244,ASPCARBREG-DIMER,pyri,2.0
glutathione synthetase,b2947,GLUTATHIONE-SYN-CPLX,gshb,4.0
glutathione synthetase,b0225,CPLX0-7787,yafq,2.0
glutathione synthetase,b0226,CPLX0-7787,dinj,2.0
betaine aldehyde dehydrogenase,b0312,BADH-CPLX,betb,4.0
betaine aldehyde dehydrogenase,b0238,GPT-CPLX,gxu,4.0
betaine aldehyde dehydrogenase,b0471,CPLX0-7816,ybab,2.0
pantetheine-phosphate adenylyltransferase,b3634,COADTRI-CPLX,yica,6.0
pantetheine-phosphate adenylyltransferase,b3942,HYDROPEROXIDI-CPLX,katg,4.0
pantetheine-phosphate adenylyltransferase,b0904,CPLX0-7843,ycae,5.0
hydroxypyruvate isomerase,b0508,CPLX-171,ybbg,2.0
hydroxypyruvate isomerase,b2890,LYSS-CPLX,herc,2.0
hydroxypyruvate isomerase,b4155,CPLX0-7889,epma,2.0
hydroxypyruvate isomerase,b3591,CPLX0-1141,fdha,10.0
hydroxypyruvate isomerase,b4170,MUTHLS-CPLX,mutl,1.0
hydroxypyruvate isomerase,b2733,MUTHLS-CPLX,plm,2.0
hydroxypyruvate isomerase,b2831,MUTHLS-CPLX,prv,1.0
hydroxypyruvate isomerase,b2017,CPLX0-7929,yefm,2.0
hydroxypyruvate isomerase,b0812,CPLX0-1521,vtm,12.0
hydroxypyruvate isomerase,b4070,NRFMULTI-CPLX,nrfa,1.0
hydroxypyruvate isomerase,b4071,NRFMULTI-CPLX,yjci,1.0
hydroxypyruvate isomerase,b1102,CPLX0-7952,fhue,1.0
hydroxypyruvate isomerase,b3005,CPLX0-7952,exbd,1.0
hydroxypyruvate isomerase,b3006,CPLX0-7952,exbb,1.0
hydroxypyruvate isomerase,b1252,CPLX0-7952,exba,1.0
hydroxypyruvate isomerase,b3005,CPLX0-1942,exbd,1.0
hydroxypyruvate isomerase,b3006,CPLX0-1942,exbb,1.0
hydroxypyruvate isomerase,b1252,CPLX0-1942,exba,1.0
hydroxypyruvate isomerase,b0150,CPLX0-1942,tona,1.0
hydroxypyruvate isomerase,b4393,PC00007,trpr,2.0
16S rRNA m<sup>4</sup>C1402 methyltransferase,b0082,CPLX0-7977,rsmh,2.0
16S rRNA m<sup>4</sup>C1402 methyltransferase,b2093,CPLX0-231,gatb,1.0
16S rRNA m<sup>4</sup>C1402 methyltransferase,b2094,CPLX0-231,gata,1.0
16S rRNA m<sup>4</sup>C1402 methyltransferase,b0400,PHOR-CPLX,nmpb,2.0
16S rRNA m<sup>4</sup>C1402 methyltransferase,b3205,CPLX0-7998,rapz,4.0
NADPH-dependent nitroreductase NfsA,b0851,CPLX0-244,ybjb,2.0
NADPH-dependent nitroreductase NfsA,b1676,PKI-COMPLEX,pykf,4.0
acetylesterase,b0476,CPLX0-8033,ybac,2.0
acetylesterase,[],CPLX0-263,iaaaa,2.0
acetylesterase,[],CPLX0-263,iaaab,2.0
acetylesterase,b0871,PYRUVOXID-CPLX,poxb,4.0
acetylesterase,b1885,CPLX0-8104,tap,2.0
acetylesterase,b1127,CPLX0-3041,pept,2.0
acetylesterase,b0408,SEC-SECRETION-CPLX,secd,1.0
