Entry	Status	Protein names	Gene names	Cofactor	Entry name	Gene ontology IDs	Gene ontology (GO)	Gene ontology (biological process)	Mass	Metal binding	Keyword ID	Annotation	Function [CC]
P37623	reviewed	4'-phosphopantetheinyl transferase AcpT (EC 2.7.8.7)	acpT yhhU b3475 JW3440		ACPT_ECOLI	GO:0000287; GO:0006633; GO:0008897; GO:0018070	holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]; fatty acid biosynthetic process [GO:0006633]; peptidyl-serine phosphopantetheinylation [GO:0018070]	fatty acid biosynthetic process [GO:0006633]; peptidyl-serine phosphopantetheinylation [GO:0018070]	21,768		KW-0808; KW-1185	3 out of 5	FUNCTION: May be involved in an alternative pathway for phosphopantetheinyl transfer and holo-ACP synthesis in E.coli. The native apo-protein substrate is unknown. Is able to functionally replace AcpS in vivo but only when expressed at high levels. {ECO:0000269|PubMed:10625633, ECO:0000269|PubMed:8939709}.
P0AE06	reviewed	Multidrug efflux pump subunit AcrA (AcrAB-TolC multidrug efflux pump subunit AcrA) (Acridine resistance protein A)	acrA lir mtcA b0463 JW0452		ACRA_ECOLI	GO:0006855; GO:0015721; GO:0030288; GO:0031226; GO:0042802; GO:0042910; GO:0046677; GO:1990281; GO:1990961	efflux pump complex [GO:1990281]; intrinsic component of plasma membrane [GO:0031226]; outer membrane-bounded periplasmic space [GO:0030288]; identical protein binding [GO:0042802]; xenobiotic transmembrane transporter activity [GO:0042910]; bile acid and bile salt transport [GO:0015721]; drug transmembrane transport [GO:0006855]; response to antibiotic [GO:0046677]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	bile acid and bile salt transport [GO:0015721]; drug transmembrane transport [GO:0006855]; response to antibiotic [GO:0046677]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	42,197		KW-0002; KW-0046; KW-0175; KW-0449; KW-0472; KW-0564; KW-0732; KW-0813; KW-0997; KW-1003; KW-1185	5 out of 5	FUNCTION: AcrA-AcrB-AcrZ-TolC is a drug efflux protein complex with broad substrate specificity that uses the proton motive force to export substrates. This subunit may act as an adapter protein that links AcrB and TolC stably together. It is elongated in shape, being long enough to span the periplasm. {ECO:0000269|PubMed:9878415}.
P31224	reviewed	Multidrug efflux pump subunit AcrB (AcrAB-TolC multidrug efflux pump subunit AcrB) (Acridine resistance protein B)	acrB acrE b0462 JW0451		ACRB_ECOLI	GO:0005886; GO:0005887; GO:0015562; GO:0016020; GO:0030288; GO:0042802; GO:0042908; GO:1990281	efflux pump complex [GO:1990281]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; identical protein binding [GO:0042802]; xenobiotic transport [GO:0042908]	xenobiotic transport [GO:0042908]	113,574		KW-0002; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	5 out of 5	FUNCTION: AcrA-AcrB-AcrZ-TolC is a drug efflux protein complex with broad substrate specificity that uses the proton motive force to export substrates. {ECO:0000269|PubMed:16915237, ECO:0000269|PubMed:16946072, ECO:0000269|PubMed:17194213, ECO:0000269|PubMed:23010927}.; FUNCTION: (Microbial infection) Involved in contact-dependent growth inhibition (CDI), acts downstream of BamA, the receptor for CDI. Its role in CDI is independent of the AcrA-AcrB-TolC efflux pump complex. {ECO:0000269|PubMed:18761695}.
P24177	reviewed	Probable aminoglycoside efflux pump (Acriflavine resistance protein D)	acrD yffA b2470 JW2454		ACRD_ECOLI	GO:0005886; GO:0005887; GO:0009636; GO:0015125; GO:0015562; GO:0015721; GO:0016020; GO:0042910; GO:0046677; GO:1990961	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; bile acid transmembrane transporter activity [GO:0015125]; efflux transmembrane transporter activity [GO:0015562]; xenobiotic transmembrane transporter activity [GO:0042910]; bile acid and bile salt transport [GO:0015721]; response to antibiotic [GO:0046677]; response to toxic substance [GO:0009636]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	bile acid and bile salt transport [GO:0015721]; response to antibiotic [GO:0046677]; response to toxic substance [GO:0009636]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	113,047		KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	5 out of 5	FUNCTION: Participates in the efflux of aminoglycosides. Confers resistance to a variety of these substances. {ECO:0000269|PubMed:10692383}.
P24180	reviewed	Multidrug export protein AcrE (Acriflavine resistance protein E) (Protein EnvC)	acrE envC b3265 JW3233		ACRE_ECOLI	GO:0006855; GO:0022857; GO:0031226; GO:0042493; GO:0046677	intrinsic component of plasma membrane [GO:0031226]; transmembrane transporter activity [GO:0022857]; drug transmembrane transport [GO:0006855]; response to antibiotic [GO:0046677]; response to drug [GO:0042493]	drug transmembrane transport [GO:0006855]; response to antibiotic [GO:0046677]; response to drug [GO:0042493]	41,318		KW-0449; KW-0472; KW-0564; KW-0732; KW-0813; KW-0903; KW-0997; KW-1003; KW-1185	3 out of 5	FUNCTION: Part of the tripartite efflux system AcrEF-TolC. Involved in the efflux of indole and organic solvents. {ECO:0000269|PubMed:10518736, ECO:0000269|PubMed:11274125}.
P24181	reviewed	Multidrug export protein AcrF (Acriflavine resistance protein F) (Protein EnvD)	acrF envD b3266 JW3234		ACRF_ECOLI	GO:0005886; GO:0015562; GO:0016021; GO:0042908	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; xenobiotic transport [GO:0042908]	xenobiotic transport [GO:0042908]	111,454		KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	3 out of 5	FUNCTION: Part of the tripartite efflux system AcrEF-TolC. Involved in the efflux of indole and organic solvents. {ECO:0000269|PubMed:10518736, ECO:0000269|PubMed:11274125}.
P0ACS9	reviewed	HTH-type transcriptional regulator AcrR (Potential acrAB operon repressor)	acrR ybaH b0464 JW0453		ACRR_ECOLI	GO:0003700; GO:0006351; GO:0008144; GO:0042493; GO:0043565; GO:0045892	DNA-binding transcription factor activity [GO:0003700]; drug binding [GO:0008144]; sequence-specific DNA binding [GO:0043565]; negative regulation of transcription, DNA-templated [GO:0045892]; response to drug [GO:0042493]; transcription, DNA-templated [GO:0006351]	negative regulation of transcription, DNA-templated [GO:0045892]; response to drug [GO:0042493]; transcription, DNA-templated [GO:0006351]	24,767		KW-0002; KW-0238; KW-0678; KW-0804; KW-0805; KW-1185	4 out of 5	FUNCTION: Potential regulator protein for the acrAB genes.
P27550	reviewed	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acs yfaC b4069 JW4030	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_01123, ECO:0000269|PubMed:21941}; 	ACSA_ECOLI	GO:0003987; GO:0005524; GO:0005829; GO:0006935; GO:0016208; GO:0018394; GO:0019427; GO:0033558; GO:0034421; GO:0045733; GO:0046872; GO:0050218	cytosol [GO:0005829]; acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; propionate-CoA ligase activity [GO:0050218]; protein deacetylase activity [GO:0033558]; acetate catabolic process [GO:0045733]; acetyl-CoA biosynthetic process from acetate [GO:0019427]; chemotaxis [GO:0006935]; peptidyl-lysine acetylation [GO:0018394]; post-translational protein acetylation [GO:0034421]	acetate catabolic process [GO:0045733]; acetyl-CoA biosynthetic process from acetate [GO:0019427]; chemotaxis [GO:0006935]; peptidyl-lysine acetylation [GO:0018394]; post-translational protein acetylation [GO:0034421]	72,094	METAL 537;  /note="Magnesium; via carbonyl oxygen";  /evidence="ECO:0000255|HAMAP-Rule:MF_01123"; METAL 539;  /note="Magnesium; via carbonyl oxygen";  /evidence="ECO:0000255|HAMAP-Rule:MF_01123"; METAL 542;  /note="Magnesium; via carbonyl oxygen";  /evidence="ECO:0000255|HAMAP-Rule:MF_01123"	KW-0007; KW-0067; KW-0436; KW-0460; KW-0479; KW-0547; KW-1185	5 out of 5	FUNCTION: Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. Acs undergoes a two-step reaction. In the first half reaction, Acs combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA.; FUNCTION: Enables the cell to use acetate during aerobic growth to generate energy via the TCA cycle, and biosynthetic compounds via the glyoxylate shunt. Acetylates CheY, the response regulator involved in flagellar movement and chemotaxis.
P32705	reviewed	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	actP yjcG b4067 JW4028		ACTP_ECOLI	GO:0005886; GO:0005887; GO:0006814; GO:0006847; GO:0015123; GO:0015293; GO:0015654; GO:0015710; GO:0043879	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; acetate transmembrane transporter activity [GO:0015123]; glycolate transmembrane transporter activity [GO:0043879]; symporter activity [GO:0015293]; tellurite transmembrane transporter activity [GO:0015654]; plasma membrane acetate transport [GO:0006847]; sodium ion transport [GO:0006814]; tellurite transport [GO:0015710]	plasma membrane acetate transport [GO:0006847]; sodium ion transport [GO:0006814]; tellurite transport [GO:0015710]	59,197		KW-0406; KW-0472; KW-0739; KW-0769; KW-0812; KW-0813; KW-0915; KW-0997; KW-1003; KW-1133; KW-1185	5 out of 5	FUNCTION: Transports acetate. Also able to transport glycolate. {ECO:0000269|PubMed:14563880}.
P06134	reviewed	Bifunctional transcriptional activator/DNA repair enzyme Ada (Regulatory protein of adaptive response) [Includes: Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) (Methylphosphotriester-DNA methyltransferase); Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (O6-methylguanine-DNA alkyltransferase)]	ada b2213 JW2201	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105;  Note=Binds 1 zinc ion per subunit.;	ADA_ECOLI	GO:0003700; GO:0003908; GO:0006307; GO:0006974; GO:0008270; GO:0018125; GO:0043565; GO:0045892; GO:0045893; GO:0080111	DNA-binding transcription factor activity [GO:0003700]; methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; cellular response to DNA damage stimulus [GO:0006974]; DNA dealkylation involved in DNA repair [GO:0006307]; DNA demethylation [GO:0080111]; negative regulation of transcription, DNA-templated [GO:0045892]; peptidyl-cysteine methylation [GO:0018125]; positive regulation of transcription, DNA-templated [GO:0045893]	cellular response to DNA damage stimulus [GO:0006974]; DNA dealkylation involved in DNA repair [GO:0006307]; DNA demethylation [GO:0080111]; negative regulation of transcription, DNA-templated [GO:0045892]; peptidyl-cysteine methylation [GO:0018125]; positive regulation of transcription, DNA-templated [GO:0045893]	39,324	METAL 38;  /note="Zinc"; METAL 42;  /note="Zinc"; METAL 69;  /note="Zinc"; METAL 72;  /note="Zinc"	KW-0002; KW-0010; KW-0227; KW-0234; KW-0238; KW-0479; KW-0489; KW-0511; KW-0804; KW-0805; KW-0808; KW-0862; KW-0903; KW-1185	5 out of 5	FUNCTION: Involved in the adaptive response to alkylation damage in DNA caused by alkylating agents. Repairs O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme (Cys-321). Also specifically repairs the Sp diastereomer of DNA methylphosphotriester lesions by the same mechanism, although the methyl transfer occurs onto a different cysteine residue (Cys-38). Cannot demethylate the other diastereomer, Rp-methylphosphotriester. This is a suicide reaction: the enzyme is irreversibly inactivated. {ECO:0000269|PubMed:2987862}.; FUNCTION: The methylation of Ada by methylphosphotriesters in DNA leads to its activation as a transcriptional regulator that activates the transcription of its own gene, ada, and other alkylation resistance genes, alkA, alkB and aidB. {ECO:0000269|PubMed:2987862}.
P22333	reviewed	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	add b1623 JW1615	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000255|HAMAP-Rule:MF_00540};  Note=Binds 1 zinc ion per subunit. {ECO:0000255|HAMAP-Rule:MF_00540};	ADD_ECOLI	GO:0004000; GO:0005829; GO:0006154; GO:0006974; GO:0008270; GO:0009168; GO:0015950; GO:0032261; GO:0043103; GO:0046101; GO:0046103	cytosol [GO:0005829]; adenosine deaminase activity [GO:0004000]; zinc ion binding [GO:0008270]; adenosine catabolic process [GO:0006154]; cellular response to DNA damage stimulus [GO:0006974]; hypoxanthine biosynthetic process [GO:0046101]; hypoxanthine salvage [GO:0043103]; inosine biosynthetic process [GO:0046103]; purine nucleotide interconversion [GO:0015950]; purine nucleotide salvage [GO:0032261]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]	adenosine catabolic process [GO:0006154]; cellular response to DNA damage stimulus [GO:0006974]; hypoxanthine biosynthetic process [GO:0046101]; hypoxanthine salvage [GO:0043103]; inosine biosynthetic process [GO:0046103]; purine nucleotide interconversion [GO:0015950]; purine nucleotide salvage [GO:0032261]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]	36,397	METAL 12;  /note="Zinc; catalytic";  /evidence="ECO:0000255|HAMAP-Rule:MF_00540"; METAL 14;  /note="Zinc; catalytic";  /evidence="ECO:0000255|HAMAP-Rule:MF_00540"; METAL 197;  /note="Zinc; catalytic";  /evidence="ECO:0000255|HAMAP-Rule:MF_00540"; METAL 278;  /note="Zinc; catalytic";  /evidence="ECO:0000255|HAMAP-Rule:MF_00540"	KW-0378; KW-0479; KW-0546; KW-0862; KW-1185	5 out of 5	
P0A9Q7	reviewed	Aldehyde-alcohol dehydrogenase [Includes: Alcohol dehydrogenase (ADH) (EC 1.1.1.1); Acetaldehyde dehydrogenase [acetylating] (ACDH) (EC 1.2.1.10); Pyruvate-formate-lyase deactivase (PFL deactivase)]	adhE ana b1241 JW1228	COFACTOR: Name=Fe cation; Xref=ChEBI:CHEBI:24875; 	ADHE_ECOLI	GO:0004022; GO:0005829; GO:0006115; GO:0008774; GO:0015976; GO:0016020; GO:0042802; GO:0046872	cytosol [GO:0005829]; membrane [GO:0016020]; acetaldehyde dehydrogenase (acetylating) activity [GO:0008774]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; carbon utilization [GO:0015976]; ethanol biosynthetic process [GO:0006115]	carbon utilization [GO:0015976]; ethanol biosynthetic process [GO:0006115]	96,127		KW-0002; KW-0007; KW-0408; KW-0511; KW-0520; KW-0560; KW-0903; KW-1185	5 out of 5	FUNCTION: This enzyme has three activities: ADH, ACDH, and PFL-deactivase. In aerobic conditions it acts as a hydrogen peroxide scavenger. The PFL deactivase activity catalyzes the quenching of the pyruvate-formate-lyase catalyst in an iron, NAD, and CoA dependent reaction.
P39451	reviewed	Alcohol dehydrogenase, propanol-preferring (EC 1.1.1.1)	adhP yddN b1478 JW1474	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250};  Note=Binds 2 Zn(2+) ions per subunit. {ECO:0000250};	ADHP_ECOLI	GO:0004022; GO:0006974; GO:0008270; GO:0016616; GO:0045471; GO:0046187	alcohol dehydrogenase (NAD+) activity [GO:0004022]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; zinc ion binding [GO:0008270]; acetaldehyde catabolic process [GO:0046187]; cellular response to DNA damage stimulus [GO:0006974]; response to ethanol [GO:0045471]	acetaldehyde catabolic process [GO:0046187]; cellular response to DNA damage stimulus [GO:0006974]; response to ethanol [GO:0045471]	35,380	METAL 37;  /note="Zinc 1; catalytic";  /evidence="ECO:0000250"; METAL 58;  /note="Zinc 1; catalytic";  /evidence="ECO:0000250"; METAL 89;  /note="Zinc 2";  /evidence="ECO:0000250"; METAL 92;  /note="Zinc 2";  /evidence="ECO:0000250"; METAL 95;  /note="Zinc 2";  /evidence="ECO:0000250"; METAL 103;  /note="Zinc 2";  /evidence="ECO:0000250"; METAL 145;  /note="Zinc 1; catalytic";  /evidence="ECO:0000250"	KW-0002; KW-0479; KW-0520; KW-0560; KW-0862; KW-0903; KW-1185	4 out of 5	FUNCTION: Preferred specificity is towards 1-propanol.
P28629	reviewed	Biodegradative arginine decarboxylase (ADC) (EC 4.1.1.19)	adiA adi b4117 JW5731	COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; 	ADIA_ECOLI	GO:0005623; GO:0005829; GO:0006527; GO:0008792; GO:0030170; GO:0051454	cell [GO:0005623]; cytosol [GO:0005829]; arginine decarboxylase activity [GO:0008792]; pyridoxal phosphate binding [GO:0030170]; arginine catabolic process [GO:0006527]; intracellular pH elevation [GO:0051454]	arginine catabolic process [GO:0006527]; intracellular pH elevation [GO:0051454]	84,425		KW-0002; KW-0210; KW-0456; KW-0663; KW-0903; KW-0963; KW-1185	5 out of 5	FUNCTION: ADC can be found in two forms: biodegradative and biosynthetic. The biodegradative form may play a role in regulating pH by consuming proteins.
P33234	reviewed	HTH-type transcriptional regulator AdiY	adiY b4116 JW4077		ADIY_ECOLI	GO:0003700; GO:0043565; GO:0045893	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; positive regulation of transcription, DNA-templated [GO:0045893]	positive regulation of transcription, DNA-templated [GO:0045893]	29,007		KW-0238; KW-0804; KW-0805; KW-1185	2 out of 5	
P69441	reviewed	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk dnaW plsA b0474 JW0463		KAD_ECOLI	GO:0000287; GO:0004017; GO:0004550; GO:0005524; GO:0005829; GO:0006172; GO:0015951; GO:0016208; GO:0044209	cytosol [GO:0005829]; adenylate kinase activity [GO:0004017]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; nucleoside diphosphate kinase activity [GO:0004550]; ADP biosynthetic process [GO:0006172]; AMP salvage [GO:0044209]; purine ribonucleotide interconversion [GO:0015951]	ADP biosynthetic process [GO:0006172]; AMP salvage [GO:0044209]; purine ribonucleotide interconversion [GO:0015951]	23,586		KW-0002; KW-0007; KW-0067; KW-0418; KW-0545; KW-0547; KW-0808; KW-0903; KW-0963; KW-1185	5 out of 5	FUNCTION: Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. {ECO:0000255|HAMAP-Rule:MF_00235, ECO:0000269|PubMed:166976, ECO:0000269|PubMed:6243627}.
